Curated Gene Symbol	Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	Gene Accession	Gene Name	GO Annotation	Sex-bias	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)	Composite array score
	A_24_P246825	chr6:48035684-48035743					M	1.353	1.353	0.000001071	51.5444	69.7864	13
	A_24_P247910	chr5:70789644-70789703		AB033067			F	0.823	-1.2151	0.0019	54.6417	44.762	12
	A_24_P248982	chr5:172344160-172344219		FV356612			F	0.7541	-1.326	0.000049418	20.3101	14.9133	13
OR5L2	A_24_P258235	chr11:55595193-55595252	OR5L2	NM_001004739	Olfactory receptor, family 5, subfamily L, member 2	molecular function|olfactory receptor activity|IEA|GO:0004984|GOA|na//molecular function|receptor activity|IEA|GO:0004872|GOA|na//biological process|G-protein coupled receptor protein signaling pathway|IEA|GO:0007186|GOA|na//biological process|response to stimulus|IEA|GO:0050896|GOA|na//biological process|sensory perception of smell|IEA|GO:0007608|GOA|na//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	M	1.1693	1.1693	1.61E-09	76.2272	88.6922	13
OXSR1	A_24_P26114	chr3:38287569-38287628	OXSR1	NM_005109	Oxidative-stress responsive 1	molecular function|ATP binding|IDA|GO:0005524|GOA|14707132//molecular function|identical protein binding|IPI|GO:0042802|GOA|17353931//molecular function|magnesium ion binding|IDA|GO:0000287|GOA|14707132//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|14707132//molecular function|protein serine/threonine kinase activity|IDA|GO:0004674|GOA|14707132//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|protein amino acid phosphorylation|IDA|GO:0006468|GOA|14707132//biological process|protein kinase cascade|IDA|GO:0007243|GOA|14707132//biological process|response to oxidative stress|IEA|GO:0006979|GOA|na	F	0.8105	-1.2337	1.63E-12	75.8143	61.169	13
FARP2	A_24_P268474	chr2:242428164-242428223	FARP2	AK127510	FERM, RhoGEF and pleckstrin domain protein 2	molecular function|Rho guanyl-nucleotide exchange factor activity|IDA|GO:0005089|GOA|12351724//molecular function|binding|IEA|GO:0005488|GOA|na//molecular function|cytoskeletal protein binding|IEA|GO:0008092|GOA|na//molecular function|guanyl-nucleotide exchange factor activity|IEA|GO:0005085|GOA|na//biological process|Rac protein signal transduction|IDA|GO:0016601|GOA|12351724//biological process|neuron remodeling|IDA|GO:0016322|GOA|12351724//biological process|regulation of Rho protein signal transduction|IEA|GO:0035023|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|12351724//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|extrinsic to membrane|IEA|GO:0019898|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na	M	1.1504	1.1504	0.0013	82.9103	95.2115	13
LEAP2	A_24_P268993	chr5:132210265-132210324	LEAP2	NM_052971	Liver expressed antimicrobial peptide 2	biological process|defense response to bacterium|IEA|GO:0042742|GOA|na//cellular component|extracellular region|IEA|GO:0005576|GOA|na	F	0.7758	-1.289	0.0005	43182.6016	33505.2266	12
	A_24_P273523	chr17:75439505-75439564		AK097965	CDNA FLJ36451 fis, clone THYMU2013757		M	1.2647	1.2647	0.0015	123.9215	158.9002	12
ZFAND5	A_24_P278167	chr19:42989324-42989383	ZFAND5	NM_006007	Zinc finger, AN1-type domain 5	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|molecular_function|ND|GO:0003674|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|biological_process|ND|GO:0008150|GOA|na//biological process|face development|IEA|GO:0060324|GOA|na//biological process|fibroblast migration|IEA|GO:0010761|GOA|na//biological process|in utero embryonic development|IEA|GO:0001701|GOA|na//biological process|platelet-derived growth factor receptor signaling pathway|IEA|GO:0048008|GOA|na//biological process|respiratory system process|IEA|GO:0003016|GOA|na//biological process|skeletal system morphogenesis|IEA|GO:0048705|GOA|na//biological process|smooth muscle tissue development|IEA|GO:0048745|GOA|na//biological process|vasculature development|IEA|GO:0001944|GOA|na//cellular component|cellular_component|ND|GO:0005575|GOA|na	M	1.152	1.152	0.0023	20035.8672	23033.0195	12
GBP7	A_24_P280664	chr1:89597796-89597855	GBP7	NM_207398	Guanylate binding protein 7	molecular function|GTP binding|IEA|GO:0005525|GOA|na//molecular function|GTPase activity|IEA|GO:0003924|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.8372	-1.1945	2.41E-10	12453.9219	10376.0381	12
MYOF	A_24_P282309	chr10:95162042-95162101	MYOF	NM_133337	Myoferlin	molecular function|protein binding|IPI|GO:0005515|GOA|18502764//biological process|blood circulation|TAS|GO:0008015|GOA|10607832//biological process|cellular response to heat|IEA|GO:0034605|GOA|na//biological process|muscle contraction|TAS|GO:0006936|GOA|10607832//cellular component|centrosome|IDA|GO:0005813|GOA|18029348//cellular component|cytoplasmic vesicle|IEA|GO:0031410|GOA|na//cellular component|cytoplasmic vesicle membrane|IEA|GO:0030659|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|nuclear envelope|TAS|GO:0005635|GOA|10607832//cellular component|nuclear membrane|IEA|GO:0031965|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|plasma membrane|IDA|GO:0005886|GOA|18029348	F	0.8046	-1.2429	0.0045	22.6328	17.5204	12
PCDH18	A_24_P284959	chr4:138441623-138441682	PCDH18	NM_019035	Protocadherin 18	molecular function|calcium ion binding|IEA|GO:0005509|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//biological process|brain development|ISS|GO:0007420|GOA|na//biological process|cell adhesion|IEA|GO:0007155|GOA|na//biological process|homophilic cell adhesion|IEA|GO:0007156|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	F	0.8661	-1.1545	0.0004	332.1021	287.0482	12
SH3KBP1	A_24_P289139	chrX:19610196-19610255	SH3KBP1	NM_031892	SH3-domain kinase binding protein 1	molecular function|SH3 domain binding|IEA|GO:0017124|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x2eedee4)//biological process|apoptosis|IEA|GO:0006915|GOA|na//biological process|cell-cell signaling|NAS|GO:0007267|GOA|10679202//biological process|endocytosis|IEA|GO:0006897|GOA|na//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|cytoplasmic vesicle|IEA|GO:0031410|GOA|na//cellular component|cytoplasmic vesicle membrane|IEA|GO:0030659|GOA|na//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|cytosol|EXP|GO:0005829|GOA|ARRAY(0x2a2b154)//cellular component|focal adhesion|IEA|GO:0005925|GOA|na//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348//cellular component|plasma membrane|EXP|GO:0005886|GOA|16407834//cellular component|synapse|IEA|GO:0045202|GOA|na//cellular component|synaptosome|IEA|GO:0019717|GOA|na	F	0.8378	-1.1936	8.97E-09	295.4515	247.6808	13
PER3	A_24_P291231	chr1:7904641-7904700	PER3	NM_016831	Period homolog 3 (Drosophila)	molecular function|signal transducer activity|IEA|GO:0004871|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|rhythmic process|IEA|GO:0048511|GOA|na//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	M	1.1611	1.1611	0.0003	834.7571	963.6962	12
	A_24_P297302	chrX:118152295-118152354					M	1.4284	1.4284	1.94E-08	767.5247	1103.062	12
CBX1	A_24_P298174	chrX:17118167-17118226	CBX1	NM_006807	Chromobox homolog 1 (HP1 beta homolog Drosophila )	molecular function|chromatin binding|IEA|GO:0003682|GOA|na//molecular function|enzyme binding|IPI|GO:0019899|GOA|19486527//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x1a22b1c)//biological process|chromatin assembly or disassembly|IEA|GO:0006333|GOA|na//cellular component|chromatin|IDA|GO:0000785|GOA|11101528//cellular component|chromosome, centromeric region|IDA|GO:0000775|GOA|8287692//cellular component|nuclear heterochromatin|TAS|GO:0005720|GOA|9169582//cellular component|nucleoplasm|TAS|GO:0005654|GOA|9169582//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|spindle|IDA|GO:0005819|GOA|11101528	F	0.7959	-1.2564	7.45E-10	157.1596	124.9846	12
C8orf46	A_24_P29859	chr8:67428127-67428160	C8orf46	NM_152765	Chromosome 8 open reading frame 46		M	1.1516	1.1516	0.0008	52.2704	60.4346	13
	A_24_P299193	chr20:33444398-33444457		AK124788			F	0.8355	-1.1969	0.001	17.8541	15.0965	12
	A_24_P302447	chr1:51420865-51420924		AF242772			M	1.1839	1.1839	0.000016479	58.6722	69.5259	13
SDS	A_24_P304439	chr12:113836519-113836578	SDS	NM_006843	Serine dehydratase	molecular function|L-serine ammonia-lyase activity|IDA|GO:0003941|GOA|ARRAY(0x1b9f1c0)//molecular function|L-threonine ammonia-lyase activity|IEA|GO:0004794|GOA|na//molecular function|lyase activity|IEA|GO:0016829|GOA|na//molecular function|protein homodimerization activity|IDA|GO:0042803|GOA|15689518//molecular function|pyridoxal phosphate binding|IDA|GO:0030170|GOA|15689518//biological process|L-serine catabolic process|IDA|GO:0006565|GOA|ARRAY(0x14b4328)//biological process|cellular amino acid metabolic process|IEA|GO:0006520|GOA|na//biological process|gluconeogenesis|IEA|GO:0006094|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|pyruvate biosynthetic process|IDA|GO:0042866|GOA|15689518//cellular component|cellular_component|ND|GO:0005575|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na	M	1.1901	1.1901	0.0001	3730.6641	4406.0322	13
TCF25	A_24_P306561	chr16:89949758-89949803	TCF25	NM_014972	Transcription factor 25 (basic helix-loop-helix)	molecular function|protein binding|IPI|GO:0005515|GOA|19060904//molecular function|transcription factor activity|IDA|GO:0003700|GOA|16574069//biological process|heart development|NAS|GO:0007507|GOA|16574069//biological process|negative regulation of transcription from RNA polymerase II promoter|IDA|GO:0000122|GOA|16574069//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|16574069	F	0.8416	-1.1883	0.000019801	2459.656	2056.8179	12
	A_24_P306945	chr7:66022149-66022208	LOC441245	BC015643	Hypothetical LOC441245		F	0.7693	-1.2999	0.00004081	537.4333	410.2942	12
	A_24_P307712	chr7:76266434-76266493		AK057787	CDNA FLJ25058 fis, clone CBL04608		M	1.2122	1.2122	0.0003	100.2572	121.6354	12
GCOM1	A_24_P307714	chr15:58074904-58074959	GCOM1	AK074767	GRINL1A complex locus		M	1.2041	1.2041	0.0009	9.8534	12.1163	13
USP43	A_24_P310009	chr17:9632242-9632301	USP43	NM_153210	Ubiquitin specific peptidase 43	molecular function|cysteine-type peptidase activity|IEA|GO:0008234|GOA|na//molecular function|peptidase activity|IEA|GO:0008233|GOA|na//molecular function|ubiquitin thiolesterase activity|IEA|GO:0004221|GOA|na//biological process|ubiquitin-dependent protein catabolic process|IEA|GO:0006511|GOA|na	M	1.2415	1.2415	0.000015046	124.1011	154.3796	12
EIF5A	A_24_P31235	chr17:7213037-7213096	EIF5A	NM_001970	Eukaryotic translation initiation factor 5A	molecular function|RNA binding|IDA|GO:0003723|GOA|15303967//molecular function|U6 snRNA binding|IDA|GO:0017070|GOA|9285100//molecular function|protein N-terminus binding|IPI|GO:0047485|GOA|15371445//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x19fb6e4)//molecular function|ribosome binding|IEA|GO:0043022|GOA|na//molecular function|translation elongation factor activity|ISS|GO:0003746|GOA|na//biological process|induction of apoptosis|IDA|GO:0006917|GOA|ARRAY(0xb46468)//biological process|mRNA export from nucleus|IMP|GO:0006406|GOA|9465063//biological process|nucleocytoplasmic transport|IDA|GO:0006913|GOA|12210765//biological process|nucleocytoplasmic transport|IMP|GO:0006913|GOA|10381392//biological process|peptidyl-lysine modification to hypusine|EXP|GO:0008612|GOA|16452303//biological process|positive regulation of cell proliferation|IGI|GO:0008284|GOA|14622290//biological process|positive regulation of translational elongation|ISS|GO:0045901|GOA|na//biological process|positive regulation of translational termination|IEA|GO:0045905|GOA|na//biological process|protein export from nucleus|IMP|GO:0006611|GOA|8596953//biological process|protein transport|IEA|GO:0015031|GOA|na//biological process|translation|IEA|GO:0006412|GOA|na//biological process|translational frameshifting|IEA|GO:0006452|GOA|na//biological process|transmembrane transport|IEA|GO:0055085|GOA|na//cellular component|annulate lamellae|IDA|GO:0005642|GOA|12210765//cellular component|cytoplasm|IDA|GO:0005737|GOA|ARRAY(0x14b4184)//cellular component|cytosol|EXP|GO:0005829|GOA|16452303//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|IEA|GO:0005789|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|nuclear pore|IDA|GO:0005643|GOA|10381392//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0xf966a8)	F	0.6899	-1.4494	0.000011549	575.8024	395.8961	12
USP40	A_24_P314688	chr2:234405443-234407217	USP40	NM_018218	Ubiquitin specific peptidase 40	molecular function|cysteine-type peptidase activity|IEA|GO:0008234|GOA|na//molecular function|peptidase activity|IEA|GO:0008233|GOA|na//molecular function|ubiquitin thiolesterase activity|IEA|GO:0004221|GOA|na//biological process|ubiquitin-dependent protein catabolic process|IEA|GO:0006511|GOA|na	F	0.8019	-1.247	0.0002	308.4602	246.6243	13
SLC4A10	A_24_P314786	chr2:162830790-162830826	SLC4A10	NM_022058	Solute carrier family 4, sodium bicarbonate transporter, member 10	molecular function|anion transmembrane transporter activity|IEA|GO:0008509|GOA|na//molecular function|antiporter activity|IEA|GO:0015297|GOA|na//molecular function|inorganic anion exchanger activity|IEA|GO:0005452|GOA|na//molecular function|symporter activity|IEA|GO:0015293|GOA|na//molecular function|transporter activity|IEA|GO:0005215|GOA|na//biological process|anion transport|IEA|GO:0006820|GOA|na//biological process|bicarbonate transport|NAS|GO:0015701|GOA|10993873//biological process|chloride transport|NAS|GO:0006821|GOA|10993873//biological process|regulation of pH|IEA|GO:0006885|GOA|na//biological process|sodium ion transport|IEA|GO:0006814|GOA|na//cellular component|basolateral plasma membrane|IEA|GO:0016323|GOA|na//cellular component|integral to membrane|NAS|GO:0016021|GOA|10993873//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	M	1.2433	1.2433	0.0042	15.9875	20.4385	12
	A_24_P316025	chr3:70175118-70175177					F	0.8079	-1.2378	0.0003	45.3427	36.3644	12
NPC1L1	A_24_P324712	chr7:44578416-44578461	NPC1L1	NM_013389	NPC1 (Niemann-Pick disease, type C1, gene)-like 1	molecular function|hedgehog receptor activity|IEA|GO:0008158|GOA|na//biological process|cholesterol biosynthetic process|IMP|GO:0006695|GOA|17140581//biological process|cholesterol homeostasis|IEA|GO:0042632|GOA|na//biological process|cholesterol transport|IMP|GO:0030301|GOA|17140581//biological process|intestinal cholesterol absorption|IMP|GO:0030299|GOA|17140581//biological process|lipoprotein metabolic process|IMP|GO:0042157|GOA|17140581//biological process|steroid metabolic process|IEA|GO:0008202|GOA|na//cellular component|apical plasma membrane|IEA|GO:0016324|GOA|na//cellular component|cytoplasmic vesicle|IEA|GO:0031410|GOA|na//cellular component|cytoplasmic vesicle membrane|IEA|GO:0030659|GOA|na//cellular component|integral to membrane|IDA|GO:0016021|GOA|19325169//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	F	0.8407	-1.1895	0.0001	34.5768	29.3752	13
SORT1	A_24_P325520	chr1:109852433-109852492	SORT1	NM_002959	Sortilin 1	molecular function|enzyme binding|IPI|GO:0019899|GOA|10085125//molecular function|nerve growth factor binding|IPI|GO:0048406|GOA|14985763//molecular function|nerve growth factor receptor activity|IDA|GO:0010465|GOA|14985763//molecular function|neurotensin receptor activity, non-G-protein coupled|IDA|GO:0030379|GOA|9756851//molecular function|protein binding|IPI|GO:0005515|GOA|17353931//molecular function|receptor activity|IEA|GO:0004872|GOA|na//biological process|G-protein coupled receptor protein signaling pathway|IMP|GO:0007186|GOA|18258592//biological process|Golgi to endosome transport|IDA|GO:0006895|GOA|11331584//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|endocytosis|IDA|GO:0006897|GOA|11331584//biological process|endosome to lysosome transport|IDA|GO:0008333|GOA|11331584//biological process|endosome transport via multivesicular body sorting pathway|IDA|GO:0032509|GOA|11331584//biological process|glucose import|IMP|GO:0046323|GOA|15992544//biological process|induction of apoptosis by extracellular signals|IMP|GO:0008624|GOA|14985763//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|myotube differentiation|IMP|GO:0014902|GOA|18258592//biological process|negative regulation of apoptosis|IDA|GO:0043066|GOA|14985763//biological process|negative regulation of lipoprotein lipase activity|IDA|GO:0051005|GOA|10085125//biological process|nerve growth factor receptor signaling pathway|IMP|GO:0048011|GOA|14985763//biological process|neuropeptide signaling pathway|IDA|GO:0007218|GOA|9756851//biological process|ossification|IEA|GO:0001503|GOA|na//biological process|plasma membrane to endosome transport|IDA|GO:0048227|GOA|11331584//biological process|regulation of gene expression|IMP|GO:0010468|GOA|18258592//biological process|response to insulin stimulus|IMP|GO:0032868|GOA|15992544//biological process|transport|IEA|GO:0006810|GOA|na//biological process|vesicle organization|IDA|GO:0016050|GOA|15992544//cellular component|Golgi apparatus|IDA|GO:0005794|GOA|11331584//cellular component|Golgi cisterna membrane|IEA|GO:0032580|GOA|na//cellular component|cell surface|IDA|GO:0009986|GOA|10085125//cellular component|clathrin-coated vesicle|IDA|GO:0030136|GOA|11331584//cellular component|coated pit|IDA|GO:0005905|GOA|11331584//cellular component|cytoplasmic membrane-bounded vesicle|IDA|GO:0016023|GOA|9756851//cellular component|early endosome|IDA|GO:0005769|GOA|11331584//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|IEA|GO:0005789|GOA|na//cellular component|endosome|NAS|GO:0005768|GOA|na//cellular component|endosome membrane|IEA|GO:0010008|GOA|na//cellular component|integral to membrane|IDA|GO:0016021|GOA|15992544//cellular component|lysosomal membrane|IEA|GO:0005765|GOA|na//cellular component|microsome|IDA|GO:0005792|GOA|15992544//cellular component|nuclear membrane|IEA|GO:0031965|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|perinuclear region of cytoplasm|IDA|GO:0048471|GOA|11331584//cellular component|plasma membrane|IDA|GO:0005886|GOA|11331584//cellular component|plasma membrane|NAS|GO:0005886|GOA|14985763	M	1.213	1.213	1.67E-06	1197.9681	1457.6366	13
