Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	28 genes associated with lipid metabolism	Gene Accession	Gene Name	GO Annotation	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_23_P211643	chr22:46615754-46615813	PPARA	1	NM_005036	Peroxisome proliferator-activated receptor alpha	molecular function|DNA binding|TAS|GO:0003677|GOA|10860941//molecular function|drug binding|IDA|GO:0008144|GOA|ARRAY(0x1b9842c)//molecular function|ligand-dependent nuclear receptor activity|IDA|GO:0004879|GOA|12955147//molecular function|ligand-regulated transcription factor activity|IEA|GO:0003706|GOA|na//molecular function|lipid binding|IDA|GO:0008289|GOA|12955147//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x46f38ac)//molecular function|protein binding|ISS|GO:0005515|GOA|na//molecular function|protein domain specific binding|IEA|GO:0019904|GOA|na//molecular function|sequence-specific DNA binding|ISS|GO:0043565|GOA|na//molecular function|steroid hormone receptor activity|IEA|GO:0003707|GOA|na//molecular function|transcription activator activity|IDA|GO:0016563|GOA|12955147//molecular function|transcription factor activity|ISS|GO:0003700|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|epidermis development|IEA|GO:0008544|GOA|na//biological process|fatty acid metabolic process|TAS|GO:0006631|GOA|10377439//biological process|fatty acid transport|TAS|GO:0015908|GOA|16271724//biological process|lipid metabolic process|TAS|GO:0006629|GOA|ARRAY(0x1ce28d0)//biological process|lipoprotein metabolic process|IEA|GO:0042157|GOA|na//biological process|negative regulation of appetite|ISS|GO:0032099|GOA|na//biological process|negative regulation of blood pressure|IEA|GO:0045776|GOA|na//biological process|negative regulation of cholesterol storage|IDA|GO:0010887|GOA|19114110//biological process|negative regulation of gene-specific transcription from RNA polymerase II promoter|IDA|GO:0010553|GOA|12700342//biological process|negative regulation of macrophage derived foam cell differentiation|IC|GO:0010745|GOA|12700342//biological process|negative regulation of macrophage derived foam cell differentiation|IDA|GO:0010745|GOA|19114110//biological process|negative regulation of receptor biosynthetic process|IDA|GO:0010871|GOA|12700342//biological process|negative regulation of sequestering of triglyceride|IDA|GO:0010891|GOA|12700342//biological process|positive regulation of fatty acid beta-oxidation|TAS|GO:0032000|GOA|16271724//biological process|positive regulation of fatty acid oxidation|ISS|GO:0046321|GOA|na//biological process|positive regulation of transcription|IEA|GO:0045941|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|regulation of fatty acid metabolic process|IEA|GO:0019217|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|response to hypoxia|IEA|GO:0001666|GOA|na//biological process|response to insulin stimulus|IEA|GO:0032868|GOA|na//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|7684926//biological process|wound healing|IEA|GO:0042060|GOA|na//cellular component|nucleus|TAS|GO:0005634|GOA|16271724	F	16	0.6993	-1.4299	1.3527E-25	262.3121	184.5482
A_23_P337917	chr12:27731136-27731172	PPFIBP1	0	NM_177444	PTPRF interacting protein, binding protein 1 (liprin beta 1)	molecular function|protein binding|IPI|GO:0005515|GOA|17353931//biological process|cell adhesion|TAS|GO:0007155|GOA|9624153//cellular component|plasma membrane|NAS|GO:0005886|GOA|9624153	F	16	0.6529	-1.5317	3.7923E-19	575.8906	370.7288
A_23_P12435	chr1:202533571-202533627	PPP1R12B	0	NM_032105	Protein phosphatase 1, regulatory (inhibitor) subunit 12B	molecular function|enzyme activator activity|TAS|GO:0008047|GOA|9570949//biological process|regulation of muscle contraction|TAS|GO:0006937|GOA|9570949//biological process|signal transduction|TAS|GO:0007165|GOA|9570949//cellular component|cytoplasm|IEA|GO:0005737|GOA|na	F	15	0.7946	-1.2585	2.482E-10	57.6666	45.4108
A_23_P145824	chr7:94920086-94920145	PPP1R9A	0	NM_017650	Protein phosphatase 1, regulatory (inhibitor) subunit 9A	molecular function|actin binding|IEA|GO:0003779|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|nervous system development|IEA|GO:0007399|GOA|na//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|synapse|IEA|GO:0045202|GOA|na//cellular component|synaptosome|IEA|GO:0019717|GOA|na	F	16	0.7179	-1.393	3.585E-09	78.2071	55.9289
A_23_P92623	chr4:101946679-101946738	PPP3CA	0	NM_001130692	Protein phosphatase 3, catalytic subunit, alpha isozyme	molecular function|calcium ion binding|NAS|GO:0005509|GOA|8392375//molecular function|calcium-dependent protein serine/threonine phosphatase activity|IEA|GO:0004723|GOA|na//molecular function|calmodulin binding|NAS|GO:0005516|GOA|8392375//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x4a776e4)//molecular function|protein heterodimerization activity|IEA|GO:0046982|GOA|na//molecular function|protein serine/threonine phosphatase activity|NAS|GO:0004722|GOA|8392375//biological process|G1/S transition of mitotic cell cycle|IEA|GO:0000082|GOA|na//biological process|calcium ion transport|IEA|GO:0006816|GOA|na//biological process|protein amino acid dephosphorylation|NAS|GO:0006470|GOA|8392375//biological process|protein import into nucleus|IEA|GO:0006606|GOA|na//biological process|regulation of excitatory postsynaptic membrane potential|IEA|GO:0060079|GOA|na//biological process|regulation of synaptic transmission|IEA|GO:0050804|GOA|na//biological process|response to amphetamine|IEA|GO:0001975|GOA|na//biological process|response to stress|IEA|GO:0006950|GOA|na//biological process|skeletal muscle fiber development|IEA|GO:0048741|GOA|na//cellular component|Z disc|IEA|GO:0030018|GOA|na//cellular component|calcineurin complex|NAS|GO:0005955|GOA|8392375//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|cytosol|EXP|GO:0005829|GOA|6330098//cellular component|insoluble fraction|IEA|GO:0005626|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|microsome|IEA|GO:0005792|GOA|na//cellular component|mitochondrion|IEA|GO:0005739|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|18029348//cellular component|soluble fraction|IEA|GO:0005625|GOA|na	F	15	0.827	-1.2091	2.3595E-06	1557.0446	1297.1174
A_24_P250765	chr10:54049984-54050026	PRKG1	0	NM_006258	Protein kinase, cGMP-dependent, type I	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|cGMP binding|IEA|GO:0030553|GOA|na//molecular function|cGMP-dependent protein kinase activity|IEA|GO:0004692|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein serine/threonine kinase activity|IEA|GO:0004674|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|actin cytoskeleton organization|TAS|GO:0030036|GOA|10851246//biological process|protein amino acid phosphorylation|IEA|GO:0006468|GOA|na//biological process|signal transduction|TAS|GO:0007165|GOA|2792381	F	15	0.7303	-1.3693	1.1984E-08	56.876	41.8173
A_23_P46539	chr1:109822459-109822518	PSRC1	1	NM_032636	Proline/serine-rich coiled-coil 1	molecular function|microtubule binding|ISS|GO:0008017|GOA|12427559//molecular function|protein binding|IEA|GO:0005515|GOA|na//biological process|cell cycle|ISS|GO:0007049|GOA|12427559//biological process|microtubule bundle formation|ISS|GO:0001578|GOA|12427559//biological process|negative regulation of cell growth|ISS|GO:0030308|GOA|12427559//biological process|positive regulation of gene-specific transcription|ISS|GO:0043193|GOA|12427559//biological process|positive regulation of microtubule polymerization|ISS|GO:0031116|GOA|12427559//cellular component|cytoplasm|ISS|GO:0005737|GOA|12427559//cellular component|microtubule cytoskeleton|ISS|GO:0015630|GOA|12427559//cellular component|midbody|ISS|GO:0030496|GOA|12427559//cellular component|spindle|ISS|GO:0005819|GOA|12427559	M	14	1.3335	1.3335	2.1559E-09	144.4933	194.34
A_24_P213494	chr10:129854387-129854429	PTPRE	0	NM_130435	Protein tyrosine phosphatase, receptor type, E	molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x1bba1b4)//molecular function|protein homodimerization activity|IEA|GO:0042803|GOA|na//molecular function|transmembrane receptor protein tyrosine phosphatase activity|TAS|GO:0005001|GOA|2170109//biological process|negative regulation of insulin receptor signaling pathway|ISS|GO:0046627|GOA|na//biological process|protein amino acid dephosphorylation|IEA|GO:0006470|GOA|na//biological process|protein amino acid phosphorylation|IEA|GO:0006468|GOA|na//biological process|transmembrane receptor protein tyrosine phosphatase signaling pathway|IEA|GO:0007185|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|plasma membrane|IDA|GO:0005886|GOA|na	F	14	0.7662	-1.3052	2.7859E-14	219.0785	167.3595
A_23_P116712	chr12:26217944-26218003	RASSF8	0	NM_007211	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8	biological process|signal transduction|IEA|GO:0007165|GOA|na	F	16	0.5905	-1.6934	4.4844E-12	76.6035	44.4936
A_23_P132910	chr4:40426177-40426236	RBM47	0	NM_019027	RNA binding motif protein 47	molecular function|RNA binding|IEA|GO:0003723|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	14	0.8511	-1.175	4.9984E-09	7555.8887	6441.4824
A_24_P343695	chr10:43617412-43617464	RET	0	NM_020975	Ret proto-oncogene	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|calcium ion binding|IEA|GO:0005509|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|protein tyrosine kinase activity|TAS|GO:0004713|GOA|7824936//molecular function|receptor activity|TAS|GO:0004872|GOA|7824936//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|transmembrane receptor protein tyrosine kinase activity|IEA|GO:0004714|GOA|na//biological process|MAPKKK cascade|IEA|GO:0000165|GOA|na//biological process|embryonic epithelial tube formation|IEA|GO:0001838|GOA|na//biological process|enteric nervous system development|IEA|GO:0048484|GOA|na//biological process|homophilic cell adhesion|IEA|GO:0007156|GOA|na//biological process|nervous system development|IEA|GO:0007399|GOA|na//biological process|neural crest cell migration|IEA|GO:0001755|GOA|na//biological process|neuron maturation|IEA|GO:0042551|GOA|na//biological process|posterior midgut development|TAS|GO:0007497|GOA|8114939//biological process|protein amino acid phosphorylation|IEA|GO:0006468|GOA|na//biological process|signal transduction|TAS|GO:0007165|GOA|7824936//biological process|transmembrane receptor protein tyrosine kinase signaling pathway|IEA|GO:0007169|GOA|na//biological process|ureteric bud development|IEA|GO:0001657|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	14	0.6917	-1.4457	1.0231E-08	30.6284	21.128
A_23_P382302	chr2:152320022-152320081	RIF1	0	NM_018151	RAP1 interacting factor homolog (yeast)	molecular function|binding|IEA|GO:0005488|GOA|na//biological process|cell cycle|IEA|GO:0007049|GOA|na//biological process|response to DNA damage stimulus|IEA|GO:0006974|GOA|na//cellular component|chromosome|IEA|GO:0005694|GOA|na//cellular component|chromosome, telomeric region|IEA|GO:0000781|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|spindle|IEA|GO:0005819|GOA|na	F	16	0.6446	-1.5514	3.0482E-08	350.6672	217.2782
A_23_P26124	chr15:60789657-60789716	RORA	0	NM_134262	RAR-related orphan receptor A	molecular function|ligand-dependent nuclear receptor activity|TAS|GO:0004879|GOA|7926749//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|16713569//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|steroid hormone receptor activity|IEA|GO:0003707|GOA|na//molecular function|transcription factor activity|IDA|GO:0003700|GOA|17545671//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|cGMP metabolic process|IEA|GO:0046068|GOA|na//biological process|cerebellar Purkinje cell differentiation|IEA|GO:0021702|GOA|na//biological process|nitric oxide biosynthetic process|IEA|GO:0006809|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IDA|GO:0045944|GOA|17545671//biological process|regulation of macrophage activation|IEA|GO:0043030|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|signal transduction|NAS|GO:0007165|GOA|7926749//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	15	0.7494	-1.3344	1.6668E-09	3037.7314	2249.4539
A_23_P158794	chr3:157840009-157840068	RSRC1	0	NM_016625	Arginine/serine-rich coiled-coil 1	molecular function|protein binding|IEA|GO:0005515|GOA|na//biological process|RNA splicing|IDA|GO:0008380|GOA|15798186//biological process|alternative nuclear mRNA splicing, via spliceosome|IEA|GO:0000380|GOA|na//biological process|nucleocytoplasmic transport|IEA|GO:0006913|GOA|na//biological process|protein amino acid phosphorylation|IEA|GO:0006468|GOA|na//biological process|response to antibiotic|IEA|GO:0046677|GOA|na//cellular component|nuclear speck|IEA|GO:0016607|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	16	0.754	-1.3262	1.8475E-12	339.5541	255.3296
A_32_P544491	chr18:67836204-67836263	RTTN	0	NM_173630	Rotatin	molecular function|binding|IEA|GO:0005488|GOA|na//biological process|determination of left/right symmetry|IEA|GO:0007368|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na	F	14	0.335	-2.9855	1.5043E-17	16.4744	5.352
A_24_P3005	chr2:167055558-167055617	SCN9A	0	NM_002977	Sodium channel, voltage-gated, type IX, alpha subunit	molecular function|voltage-gated ion channel activity|IEA|GO:0005244|GOA|na//molecular function|voltage-gated sodium channel activity|IEA|GO:0005248|GOA|na//biological process|ion transport|IEA|GO:0006811|GOA|na//biological process|sodium ion transport|IEA|GO:0006814|GOA|na//biological process|transmembrane transport|IEA|GO:0055085|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|voltage-gated sodium channel complex|IEA|GO:0001518|GOA|na	F	16	0.8605	-1.1621	4.3023E-09	185.0278	157.8917
A_23_P212204	chr3:9520291-9520350	SETD5	0	BX648380	SET domain containing 5		M	15	1.2914	1.2914	2.2263E-11	109.2821	140.9185
A_24_P254278	chr20:4833316-4833375	SLC23A2	0	NM_203327	Solute carrier family 23 (nucleobase transporters), member 2	molecular function|L-ascorbate:sodium symporter activity|IEA|GO:0008520|GOA|na//molecular function|L-ascorbic acid transporter activity|IDA|GO:0015229|GOA|ARRAY(0xc4babc)//molecular function|nucleobase transmembrane transporter activity|TAS|GO:0015205|GOA|9804989//molecular function|sodium-dependent L-ascorbate transmembrane transporter activity|IDA|GO:0070890|GOA|ARRAY(0x2e7ead4)//molecular function|sodium-dependent multivitamin transmembrane transporter activity|NAS|GO:0008523|GOA|10471399//molecular function|symporter activity|IEA|GO:0015293|GOA|na//molecular function|transporter activity|IEA|GO:0005215|GOA|na//biological process|L-ascorbic acid metabolic process|NAS|GO:0019852|GOA|10556521//biological process|L-ascorbic acid transport|IDA|GO:0015882|GOA|ARRAY(0x4a4e7c8)//biological process|ion transport|IEA|GO:0006811|GOA|na//biological process|molecular hydrogen transport|NAS|GO:0015993|GOA|10471399//biological process|nucleobase transport|TAS|GO:0015851|GOA|9804989//biological process|nucleobase, nucleoside, nucleotide and nucleic acid metabolic process|TAS|GO:0006139|GOA|9804989//biological process|response to oxidative stress|IEA|GO:0006979|GOA|na//biological process|sodium ion transport|IEA|GO:0006814|GOA|na//biological process|transepithelial L-ascorbic acid transport|IDA|GO:0070904|GOA|18417304//biological process|transmembrane transport|IEA|GO:0055085|GOA|na//cellular component|apical plasma membrane|IDA|GO:0016324|GOA|18417304//cellular component|basolateral plasma membrane|IDA|GO:0016323|GOA|ARRAY(0x1769214)//cellular component|integral to membrane|NAS|GO:0016021|GOA|10471399//cellular component|integral to plasma membrane|IEA|GO:0005887|GOA|na//cellular component|membrane fraction|TAS|GO:0005624|GOA|9804989//cellular component|plasma membrane|IDA|GO:0005886|GOA|10631088	M	14	1.3047	1.3047	4.5842E-13	9993.3184	13109.2793
A_24_P201089	chr8:23423769-23423828	SLC25A37	0	NM_016612	Solute carrier family 25, member 37	molecular function|binding|IEA|GO:0005488|GOA|na//molecular function|iron ion transmembrane transporter activity|IEA|GO:0005381|GOA|na//biological process|ion transport|IEA|GO:0006811|GOA|na//biological process|mitochondrial iron ion transport|IEA|GO:0048250|GOA|na//biological process|transmembrane transport|IEA|GO:0055085|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|mitochondrial inner membrane|IEA|GO:0005743|GOA|na//cellular component|mitochondrion|IEA|GO:0005739|GOA|na	F	14	0.8493	-1.1774	0.000071913	198.8934	168.2285
A_23_P10211	chr12:40152904-40152963	SLC2A13	0	NM_052885	Solute carrier family 2 (facilitated glucose transporter), member 13	molecular function|myo-inositol:hydrogen symporter activity|EXP|GO:0005366|GOA|11500374//molecular function|substrate-specific transmembrane transporter activity|IEA|GO:0022891|GOA|na//molecular function|transporter activity|IEA|GO:0005215|GOA|na//biological process|transmembrane transport|IEA|GO:0055085|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|plasma membrane|EXP|GO:0005886|GOA|11500374	F	15	0.7069	-1.4145	1.5441E-28	139.4124	97.6058
A_23_P4014	chr17:2203709-2203767	SMG6	0	NM_017575	Smg-6 homolog, nonsense mediated mRNA decay factor (C. elegans)	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|endonuclease activity|IEA|GO:0004519|GOA|na//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|12699629//molecular function|telomeric DNA binding|IDA|GO:0042162|GOA|12699629//biological process|mRNA export from nucleus|TAS|GO:0006406|GOA|16488880//biological process|nuclear-transcribed mRNA catabolic process, nonsense-mediated decay|TAS|GO:0000184|GOA|16488880//biological process|regulation of dephosphorylation|TAS|GO:0035303|GOA|15721257//biological process|telomere maintenance|IMP|GO:0000723|GOA|12699629//cellular component|chromosome|IEA|GO:0005694|GOA|na//cellular component|chromosome, telomeric region|IEA|GO:0000781|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|14636577//cellular component|nucleolus|IEA|GO:0005730|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|14636577//cellular component|telomerase holoenzyme complex|TAS|GO:0005697|GOA|12699629	F	15	0.6927	-1.4436	3.1078E-07	99.017	66.7443
