probe set	gene	Accession	EntrezGene	CEF NY315/CEF RCAS	t statistic	P value	CEF SRA/CEF RCAS	t statistic	P value	CEF SRA/CEF NY315	t statistic	P value
GgaAffx.10149.1.S1_at	LOC421865 /// LOC428637: hypothetical LOC421865 /// hypothetical LOC428637	ENSGALT00000025673.1	421865 /// 428637	-2.67	-3.128	0.088453	-3.22	-3.245	0.047497	-0.55	-0.421	0.691242
GgaAffx.10158.1.S1_at	LOC428372: similar to PPM2C protein	ENSGALT00000025692.1	428372	-0.25	-0.914	0.455266	0.77	5.036	0.012654	1.02	3.299	0.041175
GgaAffx.10175.1.S1_s_at	RCJMB04_30l19: ribose 5-phosphate isomerase A (ribose 5-phosphate epimerase)	ENSGALT00000025719.1	422931	0.2	1.038	0.390731	1.03	6.487	0.003059	0.83	3.586	0.020551
GgaAffx.102.1.S1_at	LOC415600: similar to ADAM metallopeptidase with thrombospondin type 1 motif, 19 preproprotein	ENSGALT00000000207.1	415600	-1.11	-10.006	0.000561	-0.66	-6.142	0.002128	0.45	4.194	0.009985
GgaAffx.1020.4.S1_s_at	LOC417122: similar to Complement C5 precursor	ENSGALT00000002378.1	417122	1.18	10.109	0.006646	0.78	2.778	0.067648	-0.4	-1.331	0.255342
GgaAffx.10203.1.S1_at	GgaAffx.10203.1	ENSGALT00000025802.1		0.31	2.028	0.151469	1.84	8.176	0.002532	1.53	5.89	0.002335
GgaAffx.1025.1.S1_at	GgaAffx.1025.1	ENSGALT00000002402.1		-1.7	-11.186	0.00039	-1.38	-7.048	0.001184	0.32	1.587	0.175229
GgaAffx.10253.1.S1_at	RIMS2: regulating synaptic membrane exocytosis 2	ENSGALT00000025903.1	420264	-1.16	-7.969	0.003025	-1.2	-14.321	0.000634	-0.04	-0.337	0.763614
GgaAffx.10322.2.S1_at	LOC427988: hypothetical LOC427988	ENSGALT00000026057.1	427988	-1.86	-9.384	0.009535	-1.94	-19.41	0.000088	-0.08	-0.345	0.753304
GgaAffx.10330.1.A1_at	GgaAffx.10330.1	ENSGALT00000026075.1		-1.38	-11.848	0.003929	-1.44	-9.31	0.001839	-0.06	-0.313	0.767134
GgaAffx.10349.2.S1_x_at	GgaAffx.10349.2	ENSGALT00000026107.1		-1.41	-6.464	0.01722	-2.07	-22.715	0.000004	-0.67	-2.97	0.07381
GgaAffx.1035.1.S1_at	GgaAffx.1035.1	ENSGALT00000002425.1		-2.02	-3.697	0.054628	-2.45	-6.262	0.00407	-0.43	-0.675	0.538683
GgaAffx.10363.2.S1_at	MAOB: monoamine oxidase B	ENSGALT00000026155.1	418561	-2.03	-14.791	0.004451	-2.15	-14.08	0.00076	-0.12	-0.6	0.574672
GgaAffx.10365.1.S1_s_at	Transcribed locus, strongly similar to NP_071520.1  serine protein kinase [Rattus norvegicus]	ENSGALT00000026166.1		-0.04	-0.33	0.763889	-1.11	-7.032	0.000899	-1.07	-8.108	0.001461
GgaAffx.10372.1.S1_at	GgaAffx.10372.1	ENSGALT00000026186.1		-0.4	-5.864	0.007796	-1.47	-9.704	0.000647	-1.06	-7.414	0.003357
GgaAffx.10380.2.S1_at	GgaAffx.10380.2	ENSGALT00000026201.1		-0.89	-12.977	0.003834	-1.19	-5.377	0.007883	-0.3	-1.405	0.253726
GgaAffx.10384.1.S1_at	LOC418579: similar to ETX1	ENSGALT00000026212.1	418579	-0.6	-3.85	0.047093	-1.46	-12.409	0.000268	-0.85	-4.607	0.010451
GgaAffx.10422.3.S1_at	GgaAffx.10422.3	ENSGALT00000026275.1		-1.18	-11.327	0.000366	-1.49	-15.128	0.000082	-0.31	-3.336	0.024419
GgaAffx.10436.2.S1_at	LOC420328: similar to adenylyl cyclase	ENSGALT00000026293.1	420328	-0.7	-3.72	0.020751	-1.01	-6.729	0.009209	-0.31	-2.23	0.117144
GgaAffx.10470.1.S1_at	GgaAffx.10470.1	ENSGALT00000026382.1		1.57	5.596	0.005039	0.55	0.806	0.470376	-1.02	-1.502	0.217032
GgaAffx.10480.1.S1_at	LOC428388: similar to C8orfK36 protein	ENSGALT00000026403.1	428388	-0.97	-8.756	0.002159	-1.29	-6.898	0.001342	-0.31	-1.84	0.144774
GgaAffx.10496.1.S1_at	GgaAffx.10496.1	ENSGALT00000026440.1		-1.33	-7.622	0.00269	-1.28	-9.056	0.000303	0.04	0.248	0.81646
GgaAffx.10513.1.S1_at	GgaAffx.10513.1	ENSGALT00000026497.1		-1	-12.485	0.005071	-1.14	-7.654	0.004362	-0.14	-0.813	0.458041
GgaAffx.10517.1.S1_at	GgaAffx.10517.1	ENSGALT00000026509.1		1.38	5.815	0.004512	0.72	1.381	0.247288	-0.65	-1.239	0.287806
GgaAffx.10534.3.S1_s_at	LOC421945: similar to KIAA0188	ENSGALT00000026551.1	421945	-0.13	-0.863	0.460725	0.97	2.887	0.059132	1.1	3.053	0.037438
GgaAffx.10545.2.S1_at	LOC421956: similar to egg envelope component ZPAX	ENSGALT00000026580.1	421956	-2.21	-15.396	0.000939	-2.13	-10.61	0.000837	0.09	0.371	0.725899
GgaAffx.10546.1.S1_at	GgaAffx.10546.1	ENSGALT00000026592.1		1.66	6.798	0.002486	0.89	1.654	0.181213	-0.77	-1.413	0.236185
GgaAffx.10548.1.S1_at	GgaAffx.10548.1	ENSGALT00000026594.1		1.51	3.127	0.041913	0.17	0.226	0.83084	-1.34	-1.892	0.132324
GgaAffx.10580.1.A1_at	GgaAffx.10580.1	ENSGALT00000026676.1		-1.78	-13.34	0.001228	-1.9	-23.925	0.000004	-0.12	-0.871	0.450814
GgaAffx.10584.2.S1_x_at	LOC418591 /// LOC425177 /// LOC425311 /// LOC425393 /// LOC425742 /// LOC425797 /// LOC425941 /// LOC426760: hypothetical LOC418591 /// hypothetical LOC425177 /// hypothetical LOC425311 /// hypothetical LOC425393 /// hypothetical LOC425742 /// hypothetical LOC425797 /// similar to KIAA1833 protein /// hypothetical LOC426760	ENSGALT00000023365.1	418591 /// 425177 /// 425311 /// 425393 /// 425742 /// 425797 /// 425941 /// 426760	-1.54	-15.918	0.00151	-1.35	-9.69	0.000203	0.19	1.734	0.167642
GgaAffx.10587.1.A1_s_at	Finished cDNA, clone ChEST563g24	ENSGALT00000026693.1		0.44	2.166	0.096546	-0.59	-3.05	0.030845	-1.03	-5.151	0.00481
GgaAffx.10587.1.S1_at	GgaAffx.10587.1	ENSGALT00000026693.1		1.02	3.262	0.034358	0.09	0.216	0.837965	-0.93	-2.345	0.072317
GgaAffx.1062.2.S1_at	Transcribed locus, weakly similar to XP_369906.1  protein MG06421.4 [Magnaporthe grisea 70-15]	ENSGALT00000002466.1		-1.13	-4.497	0.012903	-0.79	-2.064	0.097434	0.34	0.959	0.390195
GgaAffx.10637.1.S1_at	SHROOM2: shroom family member 2	ENSGALT00000026814.1	418651	1.51	4.042	0.028937	0.63	0.96	0.40054	-0.88	-1.228	0.28125
GgaAffx.1064.1.S1_s_at	ATG16L1: ATG16 autophagy related 16-like 1 (S. cerevisiae)	ENSGALT00000002471.1	424746	0.03	0.077	0.945425	-2.02	-11.192	0.000648	-2.05	-5.243	0.013919
GgaAffx.10679.1.S1_at	LOC418667: similar to GM-CSF receptor	ENSGALT00000026943.1	418667	1.28	4.67	0.011578	1.29	5.456	0.003004	0.01	0.051	0.961889
GgaAffx.10680.1.S1_at	GgaAffx.10680.1	ENSGALT00000026944.1		-1.12	-12.749	0.000962	-1.21	-4.13	0.019667	-0.09	-0.313	0.773785
GgaAffx.10732.1.S1_at	RCJMB04_3o8: similar to mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isoenzyme A; UDP-N-acetylglucosamine:alpha1,3-d-mannoside beta1,4-N-acetylglucosaminyltransferase; alpha-1,3-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyl...	ENSGALT00000027052.1	418692	0.45	6.901	0.002312	2.43	20.379	0.000038	1.99	16.61	0.000083
GgaAffx.10781.1.S1_at	COL4A1: collagen, type IV, alpha 1	ENSGALT00000027199.1	395530	-0.52	-3.28	0.045088	-1.48	-11.14	0.000119	-0.96	-5.382	0.005176
GgaAffx.10782.1.S1_s_at	LOC418752: similar to Collagen alpha-2(IV) chain	ENSGALT00000027205.1	418752	-1.01	-5.562	0.013443	-1.22	-11.112	0.000125	-0.21	-1.123	0.345514
GgaAffx.10788.1.S1_at	LOC428018: hypothetical LOC428018	ENSGALT00000027235.1	428018	1.24	3.549	0.031588	0	0.006	0.995708	-1.23	-1.865	0.145807
GgaAffx.108.1.S1_at	B-MA2: B locus M beta chain 2	ENSGALT00000000218.1	417051	-1.23	-17.629	0.000073	-1.3	-10.417	0.000585	-0.07	-0.513	0.634085
GgaAffx.10813.5.S1_s_at	RCJMB04_30a20: serine/threonine kinase 24 (STE20 homolog, yeast)	ENSGALT00000027283.1	418780	-1.26	-8.726	0.002159	-1.15	-6.501	0.002541	0.1	0.509	0.632402
GgaAffx.10854.1.S1_at	LOC428066: hypothetical LOC428066	ENSGALT00000027404.1	428066	-0.53	-3.61	0.023283	-1.1	-5.611	0.003424	-0.57	-2.816	0.039274
GgaAffx.10901.8.S1_s_at	LOC418879: similar to ATP7B	ENSGALT00000027504.1	418879	-1.85	-11.047	0.000684	-2.04	-12.319	0.00007	-0.19	-0.975	0.376461
GgaAffx.10907.1.S1_at	GgaAffx.10907.1	ENSGALT00000027515.1		-1.22	-12.622	0.004589	-1.14	-10.83	0.001249	0.08	0.565	0.597079
GgaAffx.10937.3.S1_s_at	LOC418917: similar to Heat-shock protein 105 kDa (Heat shock 110 kDa protein) (Antigen NY-CO-25)	ENSGALT00000027588.1	418917	-1.89	-8.256	0.005375	-2.18	-6.685	0.001139	-0.28	-1.076	0.34636
GgaAffx.10937.4.S1_s_at	GgaAffx.10937.4	ENSGALT00000027585.1		-1.57	-18.344	0.000078	-1.75	-16.095	0.000039	-0.19	-1.61	0.169358
GgaAffx.10948.3.S1_s_at	GgaAffx.10948.3	ENSGALT00000027612.1		-1.82	-16.338	0.0001	-1.65	-13.733	0.000039	0.17	1.306	0.248737
GgaAffx.10953.3.S1_s_at	GgaAffx.10953.3	ENSGALT00000027618.1		1.15	3.507	0.025676	0.24	0.41	0.702362	-0.9	-1.556	0.197054
GgaAffx.10968.8.S1_at	LOC418936: hypothetical LOC418936	ENSGALT00000027636.1	418936	-0.78	-4.284	0.040291	-1.3	-7.869	0.002485	-0.53	-2.21	0.083156
GgaAffx.10969.1.S1_at	LOC418936: hypothetical LOC418936	ENSGALT00000027643.1	418936	-1.15	-11.834	0.006201	-0.82	-7.237	0.004982	0.34	2.268	0.072778
GgaAffx.10971.1.S1_at	Transcribed locus, weakly similar to XP_223394.3  similar to chromaffin granule ATPase II homolog [Rattus norvegicus]	ENSGALT00000027645.1		1.1	3.025	0.041524	0.07	0.112	0.915968	-1.03	-1.723	0.1615
GgaAffx.10997.2.S1_s_at	KDELC2: KDEL (Lys-Asp-Glu-Leu) containing 2	ENSGALT00000027712.1	418966	-0.18	-1.239	0.286916	0.9	3.877	0.014558	1.08	4.852	0.008392
GgaAffx.11012.1.S1_at	LOC418975: similar to HSPC223	ENSGALT00000027741.1	418975	-0.48	-4.376	0.041061	0.6	2.039	0.13303	1.08	3.459	0.028587
GgaAffx.11018.1.S1_s_at	LOC418982: similar to Interstitial collagenase precursor (Matrix metalloproteinase-1) (MMP-1)	ENSGALT00000027764.1	418982	0.17	2.581	0.072255	1.4	3.473	0.038017	1.24	3.075	0.053275
GgaAffx.11020.1.S1_at	LOC428086: similar to Stromelysin-1 precursor (Matrix metalloproteinase-3) (MMP-3) (Transin-1) (SL-1)	ENSGALT00000027760.1	428086	-0.86	-4.087	0.05054	-1.07	-4.934	0.014324	-0.22	-0.727	0.5007
GgaAffx.11048.1.S1_at	GgaAffx.11048.1	ENSGALT00000027837.1		-1.9	-17.326	0.000236	-1.89	-9.5	0.001244	0.01	0.066	0.95033
GgaAffx.11051.1.S1_at	LOC419006: hypothetical LOC419006	ENSGALT00000027840.1	419006	-1.46	-8.587	0.001544	-1.57	-7.795	0.000864	-0.11	-0.494	0.642219
GgaAffx.11051.2.S1_s_at	LOC419006: hypothetical LOC419006	ENSGALT00000027841.1	419006	-1.41	-8.054	0.007933	-1.7	-7.464	0.000891	-0.3	-1.775	0.155646
GgaAffx.11053.2.S1_at	Transcribed locus, moderately similar to XP_235840.3  similar to proton/amino acid transporter 4 [Rattus norvegicus] /// Finished cDNA, clone ChEST997g18	ENSGALT00000027843.1		-1.63	-8.68	0.001027	-1.43	-5.226	0.004236	0.2	0.747	0.49291
GgaAffx.11057.1.S1_s_at	NAALAD2: N-acetylated alpha-linked acidic dipeptidase 2	ENSGALT00000027859.1	419010	-0.89	-4.644	0.027071	-1.48	-4.779	0.005196	-0.59	-2.267	0.097767
GgaAffx.11062.1.S1_at	LOC419024: hypothetical LOC419024	ENSGALT00000027889.1	419024	-1.15	-4.23	0.015423	-1.03	-2.657	0.054016	0.13	0.312	0.768136
GgaAffx.11076.1.S1_at	LOC428100: hypothetical LOC428100	ENSGALT00000027921.1	428100	-1.54	-17.399	0.001418	-1.65	-8.465	0.003004	-0.11	-0.499	0.643429
GgaAffx.11089.1.S1_at	LOC419046: similar to Klhdc5 protein	ENSGALT00000027951.1	419046	0.56	1.476	0.261163	1.06	5.076	0.004986	0.5	1.24	0.303357
GgaAffx.11090.1.S1_at	LOC419050: similar to metalloprotease/disintegrin/cysteine-rich protein	ENSGALT00000027955.1	419050	-1.07	-9.342	0.010209	-1.21	-9.166	0.002504	-0.14	-0.82	0.449489
GgaAffx.11103.1.S1_at	LOC419060: similar to testis spermatogenesis apoptosis related protein 1	ENSGALT00000027986.1	419060	-0.4	-1.385	0.239926	-1.27	-5.108	0.012892	-0.87	-3.92	0.022053
GgaAffx.11124.4.A1_at	GgaAffx.11124.4	ENSGALT00000023177.1		-1.92	-13.488	0.002627	-1.91	-5.768	0.009469	0.01	0.028	0.978899
GgaAffx.11136.1.S1_at	GgaAffx.11136.1	ENSGALT00000028062.1		-1.78	-17.97	0.00006	-1.91	-9.792	0.000676	-0.12	-0.64	0.559098
GgaAffx.11139.1.A1_at	GgaAffx.11139.1	ENSGALT00000028068.1		-1.08	-6.34	0.018225	-0.91	-3.848	0.012693	0.16	0.925	0.417042
GgaAffx.11139.1.S1_at	MUC6: mucin 6, oligomeric mucus/gel-forming	ENSGALT00000028068.1	414878	-1.9	-11.285	0.000374	-1.98	-9.782	0.000228	-0.08	-0.365	0.730418
GgaAffx.11147.1.S1_at	LOC428528: similar to desmoglein 4 preproprotein	ENSGALT00000028086.1	428528	-0.27	-4.073	0.042507	-1.01	-12.272	0.000719	-0.74	-7.259	0.000779
GgaAffx.11159.1.S1_at	GgaAffx.11159.1	ENSGALT00000028109.1		-1.38	-14.936	0.001265	-1.2	-7.929	0.000573	0.19	1.459	0.228986
GgaAffx.11159.1.S1_x_at	GgaAffx.11159.1	ENSGALT00000028109.1		-1.44	-11.909	0.003499	-1.15	-7.452	0.003408	0.3	1.567	0.178044
GgaAffx.11170.1.A1_at	GgaAffx.11170.1	ENSGALT00000028129.1		-0.98	-7.002	0.009239	-1.74	-13.766	0.000145	-0.76	-4.387	0.008937
GgaAffx.11172.4.A1_at	GgaAffx.11172.4	ENSGALT00000028132.1		-2.51	-8.982	0.010976	-2.83	-9.94	0.001895	-0.32	-0.819	0.45107
GgaAffx.11175.1.S1_at	LOC431636: similar to thymic stromal co-transporter	ENSGALT00000028138.1	431636	-0.94	-6.582	0.012591	0.8	1.855	0.144512	1.74	4.224	0.023049
GgaAffx.11185.1.A1_x_at	GgaAffx.11185.1	ENSGALT00000028150.1		-1.55	-10.502	0.005474	-1.36	-10.249	0.000933	0.19	1.011	0.362999
GgaAffx.11198.1.S1_at	GgaAffx.11198.1	ENSGALT00000028175.1		-0.86	-11.616	0.002637	-1.15	-5.505	0.010829	-0.3	-1.351	0.254824
GgaAffx.11201.3.S1_s_at	TLR1 /// LOC430629: toll-like receptor 1 /// hypothetical LOC430629	ENSGALT00000022402.1	426274 /// 430629	0.43	4.675	0.04276	1.93	10.737	0.001725	1.5	7.413	0.001275
GgaAffx.11204.1.S1_x_at	GgaAffx.11204.1	ENSGALT00000028183.1		-1.02	-13.046	0.004189	-1.33	-11.776	0.001089	-0.31	-2.291	0.07196
GgaAffx.11245.2.S1_at	RCJMB04_19p13 /// LOC425208 /// LOC429329 /// LOC429778 /// LOC430396: similar to immunoglobulin-like receptor CHIR-B2 precursor /// similar to immunoglobulin-like receptor CHIR-B5 /// similar to immunoglobulin-like receptor CHIR-B4 /// similar to Ffar2 protein /// similar to immunoglobulin-like receptor CHIR-AB1	ENSGALT00000001200.1	425113 /// 425208 /// 429329 /// 429778 /// 430396	-1.33	-42.756	0.000011	-1.41	-8.02	0.003435	-0.09	-0.498	0.652209
GgaAffx.11249.1.S1_at	LOC425232: similar to CCDC83 protein	ENSGALT00000028256.1	425232	-1.71	-13.646	0.000306	-1.76	-7.763	0.001105	-0.06	-0.256	0.811567
GgaAffx.11269.1.S1_at	GgaAffx.11269.1	ENSGALT00000028296.1		-1.02	-11.344	0.000346	-0.99	-12.294	0.000236	0.03	0.335	0.753593
GgaAffx.11275.1.A1_at	GgaAffx.11275.1	ENSGALT00000028304.1		-1.64	-9.47	0.000694	-1.72	-8.668	0.000339	-0.07	-0.36	0.733228
GgaAffx.11277.1.A1_x_at	GgaAffx.11277.1	ENSGALT00000028309.1		-1.44	-7.662	0.009073	-1.36	-10.829	0.000229	0.08	0.379	0.726299
GgaAffx.11279.1.S1_at	LOC419034: similar to FERM domain-containing protein 4A	ENSGALT00000010766.1	419034	-1.5	-13.073	0.000289	-1.58	-9.686	0.000513	-0.08	-0.491	0.645748
GgaAffx.11286.1.S1_at	GgaAffx.11286.1	ENSGALT00000028325.1		-2	-12.065	0.005075	-2.05	-9.897	0.001776	-0.05	-0.184	0.861127
GgaAffx.11306.1.S1_at	GgaAffx.11306.1	ENSGALT00000028361.1		-0.73	-3.228	0.032259	-1.04	-3.752	0.013458	-0.31	-1.141	0.306673
GgaAffx.11308.1.S1_at	LOC428438: hypothetical LOC428438	ENSGALT00000018384.1	428438	-1.44	-4.763	0.034147	-1.24	-10.095	0.000212	0.2	0.646	0.572739
GgaAffx.11340.1.S1_at	GgaAffx.11340.1	ENSGALT00000028421.1		-1.7	-17.614	0.000062	-1.88	-12.779	0.000113	-0.18	-1.263	0.270433
GgaAffx.11352.1.S1_at	GgaAffx.11352.1	ENSGALT00000028455.1		-1.16	-8.598	0.001027	-1.07	-7.541	0.000742	0.09	0.68	0.526807
GgaAffx.11361.1.S1_at	GgaAffx.11361.1	ENSGALT00000028475.1		-1.49	-9.023	0.010974	-2.02	-14.161	0.000618	-0.54	-2.487	0.061366
GgaAffx.11399.1.S1_s_at	RCJMB04_1d5: epidermal growth factor receptor pathway substrate 15	AJ719296	424633	0.31	2.435	0.080936	1.06	7.349	0.001131	0.75	4.576	0.005979
GgaAffx.11425.1.S1_at	RCJMB04_1g10: uridine monophosphate synthetase (orotate phosphoribosyl transferase and orotidine-5-decarboxylase)	AJ719322	424256	-1.31	-14.227	0.0002	-1.72	-3.739	0.03167	-0.41	-0.883	0.439208
GgaAffx.11429.1.S1_s_at	MMP7: matrix metallopeptidase 7 (matrilysin, uterine)	AJ719326	418983	1.07	3.354	0.077156	1.93	5.206	0.013444	0.86	1.772	0.136681
GgaAffx.11438.1.S1_s_at	RCJMB04_1h19: solute carrier organic anion transporter family, member 4A1	AJ719335	419231	0.14	0.658	0.575867	1.1	3.921	0.028362	0.96	2.746	0.040766
GgaAffx.11465.1.S1_at	RCJMB04_1k1: similar to riboflavin kinase; flavokinase; ATP:riboflavin 5-phosphotransferase	AJ719362	431449	0.14	1.343	0.304873	1.59	13.856	0.000595	1.45	25.13	0.000036
GgaAffx.11519.1.S1_at	RHOG: ras homolog gene family, member G	AJ719416	422207	-1.81	-1.649	0.237795	-2.39	-4.27	0.019455	-0.59	-0.482	0.662819
GgaAffx.11525.1.S1_s_at	RCJMB04_2c8: claudin 1	AJ719422	424910	-0.09	-0.751	0.507677	1.26	3.104	0.050579	1.35	3.245	0.039499
GgaAffx.11554.1.S1_at	TBL3: transducin (beta)-like 3	AJ719451	416545	1.45	3.552	0.02376	0.37	0.546	0.613119	-1.08	-1.585	0.185487
GgaAffx.11584.1.S1_s_at	RCJMB04_2l21: RNA binding motif protein 24	AJ719481	420846	1.2	3.849	0.024898	0.75	1.037	0.369019	-0.44	-0.584	0.592059
GgaAffx.1161.3.S1_s_at	GgaAffx.1161.3	ENSGALT00000002728.1		-2	-12.767	0.000557	-2.1	-13.021	0.000255	-0.11	-0.849	0.435138
GgaAffx.1171.1.S1_at	GgaAffx.1171.1	ENSGALT00000002748.1		-1.16	-4.257	0.049657	-1.23	-16.684	0.000139	-0.07	-0.255	0.819684
GgaAffx.11713.1.S1_s_at	RCJMB04_4i12: Rho guanine nucleotide exchange factor (GEF) 3	AJ719610	416000	0.65	2.902	0.050215	1.61	10.444	0.000698	0.96	4.792	0.018737
GgaAffx.11774.1.S1_at	RCJMB04_5c4: serine/threonine kinase 38 like	AJ719671	418217	-0.05	-0.121	0.909738	-1.19	-2.889	0.034336	-1.14	-2.375	0.067538
GgaAffx.11785.1.S1_at	RCJMB04_5e3: lipase A, lysosomal acid, cholesterol esterase	AJ719682	423789	-0.86	-4.042	0.015808	0.45	1.338	0.245809	1.31	3.985	0.014578
GgaAffx.11785.1.S1_s_at	RCJMB04_5e3: lipase A, lysosomal acid, cholesterol esterase	AJ719682	423789	-0.7	-3.302	0.038553	0.47	1.607	0.169055	1.17	4.569	0.008875
GgaAffx.11846.1.S1_s_at	RCJMB04_5p6: Janus kinase 1 (a protein tyrosine kinase)	AJ719743	395681	-0.81	-2.528	0.106666	0.58	1.795	0.155873	1.39	3.2	0.025196
GgaAffx.11878.1.S1_at	RCJMB04_6g11: splicing factor, arginine/serine-rich 5	AJ719775	423258	-2.05	-31.314	0.000023	-2.24	-24.135	0.000019	-0.19	-1.865	0.124125
GgaAffx.11886.1.S1_s_at	RCJMB04_6h9: G1 to S phase transition 1	AJ719783	416416	-0.81	-5.847	0.020701	-1.35	-3.555	0.025779	-0.54	-1.508	0.226946
GgaAffx.11898.1.S1_at	RCJMB04_6j20: F-box protein 22	AJ719795	415355	-1.96	-2.97	0.08545	-2.36	-4.934	0.00992	-0.4	-0.507	0.639525
GgaAffx.11921.1.S1_at	SERPINB6: serpin peptidase inhibitor, clade B (ovalbumin), member 6	AJ719818	420895	0.09	0.724	0.509505	1	8.381	0.001131	0.91	8.153	0.000883
GgaAffx.12005.1.S1_s_at	RCJMB04_8a2: similar to Zgc:63829	AJ719902	421130	0.24	1.27	0.277414	1.53	6.965	0.001206	1.29	5.349	0.003067
GgaAffx.12050.1.S1_s_at	CD82: CD82 molecule	AJ719947	423172	0.64	1.567	0.224193	1.82	5.934	0.002391	1.19	2.596	0.063084
GgaAffx.12062.1.S1_s_at	RCJMB04_8m13: Friend leukemia virus integration 1	AJ719959	419723	0.66	2.805	0.091155	1.38	8.536	0.001063	0.72	2.672	0.061161
GgaAffx.12086.1.S1_at	FKBP5: FK506 binding protein 5	AJ719983	421186	0.65	2.266	0.14595	1.49	7.518	0.003504	0.85	2.466	0.073083
GgaAffx.12091.1.S1_at	Hypothetical protein, clone 9b22	AJ719988		-0.34	-5.181	0.024777	-2.17	-4.803	0.015724	-1.83	-4.089	0.02626
GgaAffx.12201.1.S1_at	RCJMB04_10i5: glycosyltransferase 8 domain containing 3	AJ720098	417789	0.25	1.904	0.153234	1.53	8.985	0.001118	1.29	6.543	0.001326
GgaAffx.1229.1.S1_at	LOC427371: hypothetical LOC427371	ENSGALT00000002906.1	427371	-0.87	-8.912	0.006162	-1.04	-17.764	0.000015	-0.16	-1.567	0.212036
GgaAffx.12298.1.S1_at	RCJMB04_12e24: similar to hypothetical protein FLJ14675	AJ720195	427467	1.05	3.933	0.029489	0.63	1.522	0.189682	-0.42	-1.153	0.31739
GgaAffx.12323.1.S1_s_at	Hypothetical protein, clone 12p16	AJ720220		0.38	2.008	0.172976	1.59	4.595	0.006576	1.2	4.113	0.024455
GgaAffx.12328.1.S1_at	RCJMB04_13a19: ribonuclease H2, subunit B	AJ720225	418874	1.02	3.988	0.019562	1.06	6.324	0.007497	0.05	0.21	0.849329
GgaAffx.12367.1.S1_at	PDIA4: protein disulfide isomerase family A, member 4	AJ720264	420785	1.13	6.022	0.00454	1.15	7.001	0.001078	0.02	0.109	0.918049
GgaAffx.1240.1.S1_at	CYGB: cytoglobin	ENSGALT00000002928.1	427802	-1.06	-29.244	0.000095	-1.08	-16.018	0.00004	-0.01	-0.234	0.828037
GgaAffx.12403.1.S1_s_at	PDLIM7: PDZ and LIM domain 7	AJ720300	416362	-0.54	-6.506	0.014051	-1.6	-5.536	0.01116	-1.06	-3.553	0.030465
GgaAffx.12413.1.S1_at	LOC768866: Hypothetical protein LOC768866	AJ720310	768866	-0.42	-1.255	0.32329	-2.09	-6.978	0.003554	-1.67	-3.829	0.015
GgaAffx.12469.1.S1_at	RCJMB04_16d24: ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	AJ720366	428772	0.19	0.624	0.570742	1.01	4.581	0.009051	0.82	2.871	0.05957
GgaAffx.12469.1.S1_s_at	RCJMB04_16d24: ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	AJ720366	428772	0.43	1.566	0.228893	1.15	5.708	0.003127	0.72	2.333	0.084009
GgaAffx.12512.1.S1_at	RCJMB04_17b14: similar to xIRF-6	AJ720409	430409	-0.84	-11.579	0.000758	-1.11	-11.208	0.00036	-0.27	-2.453	0.059367
GgaAffx.12553.1.S1_at	RCJMB04_17o8: sterile alpha motif domain containing 11	AJ720450	419434	-0.71	-1.267	0.330114	-2.8	-7.935	0.003335	-2.09	-3.164	0.041181
GgaAffx.12642.1.S1_at	RCJMB04_19o2: small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta	AJ720539	427166	-0.26	-1.428	0.236411	-1.01	-3.979	0.010793	-0.75	-3.303	0.027456
GgaAffx.12659.1.S1_at	RCJMB04_20d5: similar to Beta adducin (Erythrocyte adducin beta subunit) (Adducin 63)	AJ720556	426299	-0.24	-1.997	0.179618	-1.09	-7.468	0.004587	-0.85	-4.526	0.006251
GgaAffx.12686.1.S1_at	RCJMB04_20k13: similar to C6orf37	AJ720583	421845	-0.6	-1.138	0.367463	-2.77	-8.179	0.00231	-2.17	-3.545	0.02929
GgaAffx.12703.1.S1_at	RCJMB04_21a21: similar to Toll-like receptor 21	AJ720600	415623	1.08	3.823	0.019196	0.4	0.832	0.449815	-0.67	-1.42	0.228429
GgaAffx.12711.1.S1_at	RCJMB04_21h11: hypothetical protein LOC768701	AJ720608	768701	-0.67	-5.755	0.013379	-1.97	-8.064	0.003035	-1.29	-4.925	0.007497
GgaAffx.12721.1.A1_at	RCJMB04_21l11: transmembrane, prostate androgen induced RNA	AJ720618	428166	-1.21	-1.976	0.163001	-2.57	-6.999	0.001134	-1.35	-2.049	0.129299
GgaAffx.12721.1.S1_at	RCJMB04_21l11: transmembrane, prostate androgen induced RNA	AJ720618	428166	0.02	0.084	0.939581	-2.1	-5.192	0.012814	-2.12	-4.762	0.007906
GgaAffx.12750.1.S1_s_at	RASSF3: Ras association (RalGDS/AF-6) domain family 3	AJ720647	417828	-0.36	-1.844	0.139031	0.8	3.52	0.017065	1.16	5.047	0.003953
GgaAffx.12762.1.S1_s_at	RCJMB04_22p13: acyltransferase like 1	AJ720659	415716	-0.18	-1.417	0.241347	0.86	5.84	0.003119	1.04	6.155	0.001651
