Gene Name	Description	RefSeq ID	Fold Change	FDR
F12	Homo sapiens coagulation factor XII (Hageman factor) (F12), mRNA	NM_000505	1.5	32.512
KCMF1	Homo sapiens potassium channel modulatory factor 1 (KCMF1), mRNA	NM_020122	1.5	40.375
ZNF278	Homo sapiens zinc finger protein 278 (ZNF278), transcript variant 1, mRNA	NM_014323	1.5	68.132
SCAMP1	Homo sapiens secretory carrier membrane protein 1 (SCAMP1), transcript variant 2, mRNA	NM_052822	1.5	21.099
LMNA	Homo sapiens lamin A/C (LMNA), transcript variant 2, mRNA	NM_005572	1.5	92.010
GMPPB	Homo sapiens GDP-mannose pyrophosphorylase B (GMPPB), transcript variant 1, mRNA	NM_013334	1.5	31.428
PBEF1	Homo sapiens pre-B-cell colony enhancing factor 1 (PBEF1), transcript variant 1, mRNA	NM_005746	1.5	55.236
CXorf37	Homo sapiens chromosome X open reading frame 37 (CXorf37), mRNA	NM_014008	1.5	14.400
HIST2H2AC	Homo sapiens histone 2, H2ac (HIST2H2AC), mRNA	NM_003517	1.5	842.187
GNG10	Homo sapiens guanine nucleotide binding protein (G protein), gamma 10 (GNG10), mRNA	NM_004125	1.5	19.060
XAB2	Homo sapiens XPA binding protein 2 (XAB2), mRNA	NM_020196	1.5	69.741
GOLGA1	Homo sapiens golgi autoantigen, golgin subfamily a, 1 (GOLGA1), mRNA	NM_002077	1.5	16.455
FLJ23436	Homo sapiens hypothetical protein FLJ23436 (FLJ23436), mRNA	NM_024671	1.5	39.841
RANGAP1	Homo sapiens Ran GTPase activating protein 1 (RANGAP1), mRNA	NM_002883	1.5	153.457
LOC93343	Homo sapiens hypothetical protein BC011840 (LOC93343), mRNA	NM_138401	1.5	20.605
DDX55	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 55 (DDX55), mRNA	NM_020936	1.5	15.946
FLJ11193	Homo sapiens hypothetical protein FLJ11193 (FLJ11193), mRNA	NM_018356	1.5	15.946
GAK	Homo sapiens cyclin G associated kinase (GAK), mRNA	NM_005255	1.5	52.557
SPCS3	Homo sapiens signal peptidase complex subunit 3 homolog (S. cerevisiae) (SPCS3), mRNA	NM_021928	1.5	45.130
DDHD1	Homo sapiens DDHD domain containing 1 (DDHD1), mRNA	NM_030637	1.5	13.389
SIVA	Homo sapiens CD27-binding (Siva) protein (SIVA), transcript variant 1, mRNA	NM_006427	1.5	13.389
LOC124491	Homo sapiens LOC124491 (LOC124491), mRNA	NM_145254	1.5	17.511
FAM29A	Homo sapiens family with sequence similarity 29, member A (FAM29A), mRNA	NM_017645	1.5	28.241
BRMS1	Homo sapiens breast cancer metastasis suppressor 1 (BRMS1), mRNA	NM_015399	1.5	100.753
RNU3IP2	Homo sapiens RNA, U3 small nucleolar interacting protein 2 (RNU3IP2), mRNA	NM_004704	1.5	34.087
FLJ13848	Homo sapiens hypothetical protein FLJ13848 (FLJ13848), mRNA	NM_024771	1.5	23.111
DHRS7	Homo sapiens dehydrogenase/reductase (SDR family) member 7 (DHRS7), mRNA	NM_016029	1.5	41.970
FAM46A	Homo sapiens family with sequence similarity 46, member A (FAM46A), mRNA	NM_017633	1.5	30.891
GCC1	Homo sapiens GRIP and coiled-coil domain containing 1 (GCC1), mRNA	NM_024523	1.5	24.703
G6PC3	Homo sapiens glucose 6 phosphatase, catalytic, 3 (G6PC3), mRNA	NM_138387	1.5	20.605
FLJ22175	Homo sapiens hypothetical protein FLJ22175 (FLJ22175), mRNA	NM_025161	1.5	18.532
FLJ14753	Homo sapiens hypothetical protein FLJ14753 (FLJ14753), mRNA	NM_032558	1.5	16.455
TGIF2	Homo sapiens TGFB-induced factor 2 (TALE family homeobox) (TGIF2), mRNA	NM_021809	1.5	38.796
VAPA	Homo sapiens VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa (VAPA), transcript variant 1, mRNA	NM_003574	1.5	92.532
HM13	Homo sapiens histocompatibility (minor) 13 (HM13), transcript variant 2, mRNA	NM_178580	1.5	150.661
C21orf87	Homo sapiens C21orf87 protein (C21orf87) mRNA, complete cds.	AF426265	1.5	39.309
WDR9	Homo sapiens WD repeat domain 9 (WDR9), transcript variant 1, mRNA	NM_018963	1.5	39.309
TAF1C	Homo sapiens TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa (TAF1C), transcript variant 1, mRNA	NM_005679	1.5	25.227
FLJ13725	Homo sapiens hypothetical protein FLJ13725 (FLJ13725), mRNA	NM_024519	1.5	23.111
TBRG1	Homo sapiens transforming growth factor beta regulator 1 (TBRG1), mRNA	NM_032811	1.5	15.415
ENC1	Homo sapiens ectodermal-neural cortex (with BTB-like domain) (ENC1), mRNA	NM_003633	1.5	36.203
SLC4A7	Homo sapiens solute carrier family 4, sodium bicarbonate cotransporter, member 7 (SLC4A7), mRNA	NM_003615	1.5	63.360
HTF9C	Homo sapiens HpaII tiny fragments locus 9C (HTF9C), transcript variant 2, mRNA	NM_182984	1.5	28.241
ZNF574	Homo sapiens zinc finger protein 574 (ZNF574), mRNA	NM_022752	1.5	26.259
DHRS10	Homo sapiens dehydrogenase/reductase (SDR family) member 10 (DHRS10), mRNA	NM_016246	1.5	24.183
APRIN	Homo sapiens androgen-induced proliferation inhibitor (APRIN), mRNA	NM_015032	1.5	22.116
CSNK1G3	Homo sapiens casein kinase 1, gamma 3 (CSNK1G3), mRNA	NM_004384	1.5	16.455
CAB39	Homo sapiens calcium binding protein 39 (CAB39), mRNA	NM_016289	1.5	39.841
ATP5D	Homo sapiens ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit (ATP5D), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA	NM_001687	1.5	34.087
IBTK	Homo sapiens inhibitor of Bruton agammaglobulinemia tyrosine kinase (IBTK), mRNA	NM_015525	1.5	54.146
LOC88523	Homo sapiens CG016 (LOC88523), mRNA	NM_033111	1.5	23.111
PFAAP5	Homo sapiens phosphonoformate immuno-associated protein 5 (PFAAP5), mRNA	NM_014887	1.5	23.111
M6PRBP1	Homo sapiens mannose-6-phosphate receptor binding protein 1 (M6PRBP1), mRNA	NM_005817	1.5	78.918
SSR3	Homo sapiens signal sequence receptor, gamma (translocon-associated protein gamma) (SSR3), mRNA	NM_007107	1.5	65.477
TNFRSF10D	Homo sapiens tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain (TNFRSF10D), mRNA	NM_003840	1.5	35.684
PSAT1	Homo sapiens phosphoserine aminotransferase 1 (PSAT1), transcript variant 1, mRNA	NM_058179	1.5	203.218
VANGL1	Homo sapiens vang-like 1 (van gogh, Drosophila) (VANGL1), mRNA	NM_138959	1.5	13.392
VANGL1	Homo sapiens vang-like 1 (van gogh, Drosophila), mRNA (cDNA clone IMAGE:2984856), complete cds.	BC000907	1.5	13.392
CDC16	Homo sapiens CDC16 cell division cycle 16 homolog (S. cerevisiae) (CDC16), mRNA	NM_003903	1.5	14.910
CD97	Homo sapiens CD97 antigen (CD97), transcript variant 1, mRNA	NM_078481	1.5	14.910
MGC10986	Homo sapiens hypothetical protein MGC10986 (MGC10986), mRNA	NM_030576	1.5	18.031
TARS	Homo sapiens threonyl-tRNA synthetase (TARS), mRNA	NM_152295	1.5	70.244
PCBP1	Homo sapiens poly(rC) binding protein 1 (PCBP1), mRNA	NM_006196	1.5	155.083
CCDC6	H4(D10S170)=putative cytoskeletal protein human, thyroid, mRNA, 3011 nt].	S72869	1.5	27.263
ASS	Homo sapiens argininosuccinate synthetase (ASS), transcript variant 2, mRNA	NM_054012	1.5	140.816
FLJ12735	Homo sapiens hypothetical protein FLJ12735 (FLJ12735), mRNA	NM_024857	1.5	15.950
KPNA3	Homo sapiens karyopherin alpha 3 (importin alpha 4) (KPNA3), mRNA	NM_002267	1.5	22.120
UBXD2	Homo sapiens UBX domain containing 2 (UBXD2), mRNA	NM_014607	1.5	64.446
TSC2	Homo sapiens tuberous sclerosis 2 (TSC2), transcript variant 1, mRNA	NM_000548	1.5	34.090
VprBP	Homo sapiens Vpr-binding protein (VprBP), mRNA	NM_014703	1.5	21.588
PTPRK	Homo sapiens protein tyrosine phosphatase, receptor type, K (PTPRK), mRNA	NM_002844	1.5	54.150
TUBB4	Homo sapiens tubulin, beta 4 (TUBB4), mRNA	NM_006087	1.5	109.496
EIF2B2	Homo sapiens eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa (EIF2B2), mRNA	NM_014239	1.5	19.604
ELYS	Homo sapiens ELYS transcription factor-like protein TMBS62 (ELYS), mRNA	NM_015446	1.5	70.773
AGTPBP1	Homo sapiens ATP/GTP binding protein 1 (AGTPBP1), mRNA	NM_015239	1.5	19.072
FLJ12517	Homo sapiens hypothetical protein FLJ12517 (FLJ12517), mRNA	NM_023007	1.5	26.263
SELB	Homo sapiens elongation factor for selenoprotein translation (SELB), mRNA	NM_021937	1.5	26.263
SV2A	Homo sapiens synaptic vesicle glycoprotein 2A (SV2A), mRNA	NM_014849	1.5	15.955
MMP14	Homo sapiens matrix metalloproteinase 14 (membrane-inserted) (MMP14), mRNA	NM_004995	1.5	52.045
ZFP91	Homo sapiens zinc finger protein 91 homolog (mouse) (ZFP91), transcript variant 1, mRNA	NM_053023	1.5	49.916
ZNF131	Human zinc finger protein ZNF131 mRNA, partial cds.	U09410	1.5	21.105
PTOV1	Homo sapiens prostate tumor overexpressed gene 1 (PTOV1), mRNA	NM_017432	1.5	48.867
CGI-04	Homo sapiens CGI-04 protein (CGI-04), mRNA	NM_015936	1.5	13.906
ZMYND11	Homo sapiens zinc finger, MYND domain containing 11 (ZMYND11), transcript variant 1, mRNA	NM_006624	1.5	28.787
KAB	Homo sapiens KARP-1-binding protein (KAB), mRNA	NM_014812	1.5	82.249
KIAA0476	Homo sapiens mRNA for KIAA0476 protein, partial cds.	AB007945	1.5	57.958
HSPH1	Homo sapiens heat shock 105kDa/110kDa protein 1 (HSPH1), mRNA	NM_006644	1.5	38.324
C3orf17	Homo sapiens chromosome 3 open reading frame 17 (C3orf17), mRNA	NM_015412	1.5	21.593
TUBGCP6	Homo sapiens tubulin, gamma complex associated protein 6 (TUBGCP6), transcript variant 1, mRNA	NM_020461	1.5	45.676
12:00 AM	Homo sapiens membrane-associated ring finger (C3HC4) 5 (MARCH5), mRNA	NM_017824	1.5	17.528
MID1IP1	Homo sapiens MID1 interacting protein 1 (gastrulation specific G12-like (zebrafish)) (MID1IP1), mRNA	NM_021242	1.5	84.378
DKFZp434K1815	Homo sapiens hypothetical protein DKFZp434K1815 (DKFZp434K1815), mRNA	NM_152892	1.5	18.545
HDAC4	Homo sapiens histone deacetylase 4 (HDAC4), mRNA	NM_006037	1.5	21.109
ABCC10	Homo sapiens ATP-binding cassette, sub-family C (CFTR/MRP), member 10 (ABCC10), mRNA	NM_033450	1.5	23.668
EPS15L1	Homo sapiens epidermal growth factor receptor pathway substrate 15-like 1 (EPS15L1), mRNA	NM_021235	1.5	27.275
B3GAT3	Homo sapiens beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I) (B3GAT3), mRNA	NM_012200	1.5	25.775
SURF5	Homo sapiens surfeit 5 (SURF5), transcript variant b, mRNA	NM_133640	1.5	59.611
ADSS	Homo sapiens adenylosuccinate synthase (ADSS), mRNA	NM_001126	1.5	38.331
KIF21A	Homo sapiens kinesin family member 21A (KIF21A), mRNA	NM_017641	1.5	48.331
RGS19IP1	Homo sapiens regulator of G-protein signalling 19 interacting protein 1 (RGS19IP1), transcript variant 1, mRNA	NM_005716	1.5	64.478
ARMET	Homo sapiens arginine-rich, mutated in early stage tumors (ARMET), mRNA	NM_006010	1.5	45.164
C12orf14	Homo sapiens chromosome 12 open reading frame 14 (C12orf14), mRNA	NM_021238	1.5	61.757
KIAA0664	Homo sapiens KIAA0664 protein (KIAA0664), mRNA	NM_015229	1.5	103.019
APOA2	Homo sapiens apolipoprotein A-II (APOA2), mRNA	NM_001643	1.5	321.253
UBC	Homo sapiens ubiquitin C (UBC), mRNA	NM_021009	1.5	2667.762
VEZATIN	Homo sapiens transmembrane protein vezatin (VEZATIN), mRNA	NM_017599	1.5	23.140
C10orf12	Homo sapiens chromosome 10 open reading frame 12 (C10orf12), mRNA	NM_015652	1.5	17.006
UCKL1	Homo sapiens uridine-cytidine kinase 1-like 1 (UCKL1), mRNA	NM_017859	1.5	17.006
FLJ10747	Homo sapiens hypothetical protein FLJ10747 (FLJ10747), mRNA	NM_018202	1.5	22.613
GTPBP6	Homo sapiens GTP binding protein 6 (putative) (GTPBP6), mRNA	NM_012227	1.5	14.423
TENS1	Homo sapiens tensin-like SH2 domain containing 1 (TENS1), mRNA	NM_022748	1.5	115.554
PDPK1	Homo sapiens 3-phosphoinositide dependent protein kinase-1 (PDPK1), mRNA	NM_002613	1.5	40.413
KIAA1919	Homo sapiens KIAA1919 (KIAA1919), mRNA	NM_153369	1.5	19.090
KEAP1	Homo sapiens kelch-like ECH-associated protein 1 (KEAP1), transcript variant 2, mRNA	NM_012289	1.5	56.396
CHTF18	Homo sapiens CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae) (CHTF18), mRNA	NM_022092	1.5	17.544
CHN2	Homo sapiens chimerin (chimaerin) 2 (CHN2), mRNA	NM_004067	1.5	13.922
SCYL2	Homo sapiens SCY1-like 2 (S. cerevisiae) (SCYL2), mRNA	NM_017988	1.5	22.620
PPP1R15B	Homo sapiens protein phosphatase 1, regulatory (inhibitor) subunit 15B (PPP1R15B), mRNA	NM_032833	1.5	91.566
PEO1	Homo sapiens progressive external ophthalmoplegia 1 (PEO1), mRNA	NM_021830	1.5	18.056
TDG	Homo sapiens thymine-DNA glycosylase (TDG), mRNA	NM_003211	1.5	18.056
DMN	Homo sapiens desmuslin (DMN), transcript variant A, mRNA	NM_145728	1.5	25.798
MGC17337	Homo sapiens similar to RIKEN cDNA 5730528L13 gene (MGC17337), mRNA	NM_080655	1.5	25.798
TMEFF1	Homo sapiens transmembrane protein with EGF-like and two follistatin-like domains 1 (TMEFF1), mRNA	NM_003692	1.5	25.798
DERL1	Homo sapiens Der1-like domain family, member 1 (DERL1), mRNA	NM_024295	1.5	26.796
ZNF274	Homo sapiens zinc finger protein 274 (ZNF274), transcript variant ZNF274c, mRNA	NM_133502	1.5	19.099
TMEM8	Homo sapiens transmembrane protein 8 (five membrane-spanning domains) (TMEM8), mRNA	NM_021259	1.5	49.972
ULK3	Homo sapiens unc-51-like kinase 3 (C. elegans) (ULK3), mRNA	NM_015518	1.5	13.420
CDC2L5	Homo sapiens cell division cycle 2-like 5 (cholinesterase-related cell division controller) (CDC2L5), transcript variant 1, mRNA	NM_003718	1.5	53.706
FLJ11301	Homo sapiens hypothetical protein FLJ11301 (FLJ11301), mRNA	NM_018385	1.5	16.485
FTSJ1	Homo sapiens FtsJ homolog 1 (E. coli) (FTSJ1), transcript variant 1, mRNA	NM_012280	1.5	30.408
CALD1	Homo sapiens caldesmon 1 (CALD1), transcript variant 4, mRNA	NM_033139	1.5	156.908
WDR32	Homo sapiens hypothetical protein MGC10765 (MGC10765), mRNA	NM_024345	1.5	62.362
FLJ10359	Homo sapiens cDNA FLJ40893 fis, clone UTERU2001607.	AK098212	1.5	63.448
ZNF403	Homo sapiens zinc finger protein 403 (ZNF403), mRNA	NM_024835	1.5	49.976
MASS1	Homo sapiens monogenic, audiogenic seizure susceptibility 1 homolog (mouse) (MASS1), mRNA	NM_032119	1.5	36.797
PREB	Homo sapiens prolactin regulatory element binding (PREB), mRNA	NM_013388	1.5	42.032
NUPL1	Homo sapiens nucleoporin like 1 (NUPL1), transcript variant 1, mRNA	NM_014089	1.5	24.749
TFE3	Homo sapiens transcription factor binding to IGHM enhancer 3 (TFE3), mRNA	NM_006521	1.5	49.433
NT5E	Homo sapiens 5-nucleotidase, ecto (CD73) (NT5E), mRNA	NM_002526	1.5	30.952
DDX20	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 20 (DDX20), mRNA	NM_007204	1.5	13.932
ZFP62	Homo sapiens zinc finger protein 62 homolog (mouse) (ZFP62), mRNA	NM_152283	1.5	14.938
MGA	Homo sapiens mRNA for KIAA0518 protein, partial cds.	AB011090	1.5	58.040
PELP1	Homo sapiens proline-, glutamic acid-, leucine-rich protein 1 (PELP1), mRNA	NM_014389	1.5	63.459
SLC20A1	Homo sapiens solute carrier family 20 (phosphate transporter), member 1 (SLC20A1), mRNA	NM_005415	1.5	98.142
XBP1	Homo sapiens X-box binding protein 1 (XBP1), mRNA	NM_005080	1.5	343.540
DKFZP564J0863	Homo sapiens DKFZP564J0863 protein (DKFZP564J0863), mRNA	NM_015459	1.5	110.712
MCFD2	Homo sapiens multiple coagulation factor deficiency 2 (MCFD2), mRNA	NM_139279	1.5	44.704
XPMC2H	Homo sapiens XPMC2 prevents mitotic catastrophe 2 homolog (Xenopus laevis) (XPMC2H), mRNA	NM_020385	1.5	43.660
C14orf166	Homo sapiens chromosome 14 open reading frame 166 (C14orf166), mRNA	NM_016039	1.5	23.708
RENT1	Homo sapiens regulator of nonsense transcripts 1 (RENT1), mRNA	NM_002911	1.5	156.452
ASE-1	Homo sapiens CD3-epsilon-associated protein; antisense to ERCC-1 (ASE-1), mRNA	NM_012099	1.5	17.562
RIF1	Homo sapiens receptor-interacting factor 1 (RIF1), transcript variant 1, mRNA	NM_018372	1.5	14.437
ARID3A	Homo sapiens AT rich interactive domain 3A (BRIGHT- like) (ARID3A), mRNA	NM_005224	1.5	205.756
ESRRA	Homo sapiens estrogen-related receptor alpha (ESRRA), mRNA	NM_004451	1.5	27.824
FOSL2	Fos-related antigen 2. [Source:Uniprot/SWISSPROT;Acc:P15408]	ENST00000265539	1.5	33.641
FOSL2	Homo sapiens FOS-like antigen 2 (FOSL2), mRNA	NM_005253	1.5	33.641
RHOBTB1	Homo sapiens Rho-related BTB domain containing 1 (RHOBTB1), transcript variant 1, mRNA	NM_014836	1.5	24.768
LOC284058	Homo sapiens hypothetical protein LOC284058 (LOC284058), mRNA	NM_015443	1.5	22.646
POLR1A	Homo sapiens polymerase (RNA) I polypeptide A, 194kDa (POLR1A), mRNA	NM_015425	1.5	61.344
PHIP	Homo sapiens pleckstrin homology domain interacting protein (PHIP), mRNA	NM_017934	1.5	52.152
MEF2A	Homo sapiens MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A) (MEF2A), mRNA	NM_005587	1.5	39.933
RPL13	Homo sapiens ribosomal protein L13 (RPL13), transcript variant 2, mRNA	NM_033251	1.5	772.880
KIAA0650	Homo sapiens mRNA; cDNA DKFZp434K063 (from clone DKFZp434K063).	AL080138	1.5	61.349
IHPK1	Homo sapiens inositol hexaphosphate kinase 1 (IHPK1), transcript variant 1, mRNA	NM_153273	1.5	53.246
SREBF1	Homo sapiens sterol regulatory element binding transcription factor 1 (SREBF1), transcript variant 2, mRNA	NM_004176	1.5	64.601
RKHD1	Homo sapiens ring finger and KH domain containing 1 (RKHD1), mRNA	NM_203304	1.5	67.227
ATP2B4	Homo sapiens ATPase, Ca++ transporting, plasma membrane 4 (ATP2B4), transcript variant 1, mRNA	NM_001684	-1.5	-29.238
PIAS1	Homo sapiens protein inhibitor of activated STAT, 1 (PIAS1), mRNA	NM_016166	-1.5	-31.285
MTCBP-1	Homo sapiens membrane-type 1 matrix metalloproteinase cytoplasmic tail binding protein-1 (MTCBP-1), mRNA	NM_018269	-1.5	-15.671
HIST1H1A	Homo sapiens histone 1, H1a (HIST1H1A), mRNA	NM_005325	-1.5	-61.102
GSN	Homo sapiens gelsolin (amyloidosis, Finnish type) (GSN), transcript variant 1, mRNA	NM_000177	-1.5	-327.768
PDZK1	Homo sapiens PDZ domain containing 1 (PDZK1), mRNA	NM_002614	-1.5	-33.080
ID2	Homo sapiens inhibitor of DNA binding 2, dominant negative helix-loop-helix protein (ID2), mRNA	NM_002166	-1.5	-115.988
AK172861	Homo sapiens cDNA FLJ24091 fis, clone COL10314.	AK172861	-1.5	-14.726
KREMEN1	Homo sapiens kringle containing transmembrane protein 1 (KREMEN1), transcript variant 1, mRNA	NM_153379	-1.5	-14.726
CPE	Homo sapiens carboxypeptidase E (CPE), mRNA	NM_001873	-1.5	-25.981
ACADSB	Homo sapiens acyl-Coenzyme A dehydrogenase, short/branched chain (ACADSB), nuclear gene encoding mitochondrial protein, mRNA	NM_001609	-1.5	-46.152
LOX	Homo sapiens lysyl oxidase (LOX), mRNA	NM_002317	-1.5	-142.281
TMCC1	Homo sapiens transmembrane and coiled-coil domains 1 (TMCC1), mRNA	NM_015008	-1.5	-53.260
FLJ14146	Homo sapiens hypothetical protein FLJ14146 (FLJ14146), mRNA	NM_024709	-1.5	-142.566
BNIP3L	Homo sapiens BCL2/adenovirus E1B 19kDa interacting protein 3-like (BNIP3L), mRNA	NM_004331	-1.5	-23.941
KIAA1984	Homo sapiens KIAA1984 (KIAA1984), mRNA	NM_032874	-1.5	-256.604
SORBS1	Homo sapiens sorbin and SH3 domain containing 1 (SORBS1), mRNA	NM_006434	-1.5	-45.250
EVA1	Homo sapiens epithelial V-like antigen 1 (EVA1), transcript variant 2, mRNA	NM_144765	-1.5	-13.382
GM2A	Homo sapiens GM2 ganglioside activator (GM2A), mRNA	NM_000405	-1.5	-15.837
SORL1	Homo sapiens sortilin-related receptor, L(DLR class) A repeats-containing (SORL1), mRNA	NM_003105	-1.5	-99.646
GBE1	Homo sapiens glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV) (GBE1), mRNA	NM_000158	-1.5	-14.114
TOB1	Homo sapiens transducer of ERBB2, 1 (TOB1), mRNA	NM_005749	-1.5	-27.000
GRB14	Homo sapiens growth factor receptor-bound protein 14 (GRB14), mRNA	NM_004490	-1.5	-13.610
LGALS3	Homo sapiens lectin, galactoside-binding, soluble, 3 (galectin 3) (LGALS3), mRNA	NM_002306	-1.5	-54.359
ATP5J2	Homo sapiens ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2 (ATP5J2), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA	NM_004889	-1.5	-28.041
RRM2	Homo sapiens ribonucleotide reductase M2 polypeptide (RRM2), mRNA	NM_001034	-1.6	-43.907
FAM13A1	Homo sapiens family with sequence similarity 13, member A1 (FAM13A1), mRNA	NM_014883	-1.6	-83.174
TMEM37	Homo sapiens transmembrane protein 37, mRNA (cDNA clone MGC:50757 IMAGE:5221396), complete cds.	BC046362	-1.6	-86.352
ALAD	Homo sapiens aminolevulinate, delta-, dehydratase (ALAD), transcript variant 2, mRNA	NM_000031	-1.6	-24.516
HDAC3	Homo sapiens histone deacetylase 3 (HDAC3), mRNA	NM_003883	-1.6	-38.697
BNIP3	Homo sapiens BCL2/adenovirus E1B 19kDa interacting protein 3 (BNIP3), nuclear gene encoding mitochondrial protein, mRNA	NM_004052	-1.6	-97.439
TCF7L2	Homo sapiens transcription factor 7-like 2 (T-cell specific, HMG-box) (TCF7L2), mRNA	NM_030756	-1.6	-15.693
ADH6	Homo sapiens alcohol dehydrogenase 6 (class V) (ADH6), mRNA	NM_000672	-1.6	-13.367
GJB1	Homo sapiens gap junction protein, beta 1, 32kDa (connexin 32, Charcot-Marie-Tooth neuropathy, X-linked) (GJB1), mRNA	NM_000166	-1.6	-50.598
P4HA1	Homo sapiens procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I (P4HA1), mRNA	NM_000917	-1.6	-85.397
ADM	Homo sapiens adrenomedullin (ADM), mRNA	NM_001124	-1.6	-26.536
C8A	Homo sapiens complement component 8, alpha polypeptide (C8A), mRNA	NM_000562	-1.6	-16.152
GCNT1	Homo sapiens glucosaminyl (N-acetyl) transferase 1, core 2 (beta-1,6-N-acetylglucosaminyltransferase) (GCNT1), mRNA	NM_001490	-1.6	-32.095
AGXT	Homo sapiens alanine-glyoxylate aminotransferase (oxalosis I; hyperoxaluria I; glycolicaciduria; serine-pyruvate aminotransferase) (AGXT), mRNA	NM_000030	-1.7	-18.232
FABP1	Homo sapiens fatty acid binding protein 1, liver (FABP1), mRNA	NM_001443	-1.7	-454.332
FMO5	Homo sapiens flavin containing monooxygenase 5 (FMO5), mRNA	NM_001461	-1.7	-13.353
PGK1	Homo sapiens phosphoglycerate kinase 1 (PGK1), mRNA	NM_000291	-1.7	-330.292
DKFZP586A0522	Homo sapiens DKFZP586A0522 protein (DKFZP586A0522), mRNA	NM_014033	-1.7	-196.581
SOCS3	Homo sapiens suppressor of cytokine signaling 3 (SOCS3), mRNA	NM_003955	-1.7	-42.300
RAB37	Homo sapiens RAB37, member RAS oncogene family (RAB37), mRNA	NM_175738	-1.7	-51.954
PFKFB4	Homo sapiens 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 (PFKFB4), mRNA	NM_004567	-1.7	-98.290
CSE-C	Homo sapiens cytosolic sialic acid 9-O-acetylesterase homolog (CSE-C), mRNA	NM_170601	-1.7	-42.300
TUBA1	Homo sapiens tubulin, alpha 1 (testis specific) (TUBA1), mRNA	NM_006000	-1.8	-20.075
INSIG2	Homo sapiens insulin induced gene 2 (INSIG2), mRNA	NM_016133	-1.8	-28.277
PLG	Homo sapiens plasminogen (PLG), mRNA	NM_000301	-1.8	-57.611
ST3GAL1	Homo sapiens sialyltransferase 4A (beta-galactoside alpha-2,3-sialyltransferase) (SIAT4A), transcript variant 1, mRNA	NM_003033	-1.8	-83.271
HEY1	Homo sapiens hairy/enhancer-of-split related with YRPW motif 1 (HEY1), mRNA	NM_012258	-1.8	-16.383
PIAS3	Homo sapiens protein inhibitor of activated STAT, 3 (PIAS3), mRNA	NM_006099	-1.8	-17.670
SMOC1	Homo sapiens SPARC related modular calcium binding 1 (SMOC1), mRNA	NM_022137	-1.8	-31.093
RPL41	Homo sapiens ribosomal protein L41 (RPL41), mRNA	NM_021104	-1.8	-33.132
AMOT	Homo sapiens angiomotin (AMOT), mRNA	NM_133265	-1.8	-26.145
PDLIM2	Homo sapiens PDZ and LIM domain 2 (mystique) (PDLIM2), transcript variant 2, mRNA	NM_021630	-1.9	-24.765
ALDOC	Homo sapiens aldolase C, fructose-bisphosphate (ALDOC), mRNA	NM_005165	-1.9	-394.821
SCIRP10	Homo sapiens SCIRP10-related protein (SCIRP10), mRNA	NM_013349	-1.9	-30.775
B3GNT7	Homo sapiens UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 (B3GNT7), mRNA	NM_145236	-1.9	-17.696
ARG1	Homo sapiens arginase, liver (ARG1), mRNA	NM_000045	-1.9	-249.995
NDRG1	Homo sapiens N-myc downstream regulated gene 1 (NDRG1), mRNA	NM_006096	-1.9	-484.535
LIF	Homo sapiens leukemia inhibitory factor (cholinergic differentiation factor) (LIF), mRNA	NM_002309	-1.9	-51.954
HMGCS2	Homo sapiens 3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial) (HMGCS2), mRNA	NM_005518	-1.9	-37.519
CSTB	Homo sapiens cystatin B (stefin B) (CSTB), mRNA	NM_000100	-2.0	-211.492
PPP1R3C	Homo sapiens protein phosphatase 1, regulatory (inhibitor) subunit 3C (PPP1R3C), mRNA	NM_005398	-2.0	-47.422
HIG2	Homo sapiens hypoxia-inducible protein 2 (HIG2), mRNA	NM_013332	-2.0	-142.598
PTMS	Homo sapiens parathymosin (PTMS), mRNA	NM_002824	-2.0	-1157.116
AGXT2	Homo sapiens alanine-glyoxylate aminotransferase 2 (AGXT2), nuclear gene encoding mitochondrial protein, mRNA	NM_031900	-2.0	-20.643
TNS	Homo sapiens tensin (TNS), mRNA	NM_022648	-2.0	-94.240
MYO1A	Homo sapiens myosin IA (MYO1A), mRNA	NM_005379	-2.1	-21.801
