Gene Symbol	Gene Title	Row_Column	log2 Par4	log2 emptyvector_control	log2 (Par4/vector)	abs fold-change	10%FDR	5%FDR	1%FDR	Alignments	RefSeq Protein ID	RefSeq Transcript ID	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function	Pathway
IARS	isoleucine-tRNA synthetase	140_12	1.984707169	1.427468157	0.557239012	1.471450501	yes	yes	yes	chr9:94012445-94095788 (-) // 99.87 // q22.31	NP_002152.2 /// NP_038203.2	NM_002161 /// NM_013417	6412 // protein biosynthesis // inferred from electronic annotation /// 6428 // isoleucyl-tRNA aminoacylation // inferred from electronic annotation /// 6418 // tRNA aminoacylation for protein translation // inferred from electronic annotation /// 6412 // protein biosynthesis // not recorded	5625 // soluble fraction // traceable author statement /// 5737 // cytoplasm // traceable author statement	166 // nucleotide binding // inferred from electronic annotation /// 4812 // aminoacyl-tRNA ligase activity // inferred from electronic annotation /// 4822 // isoleucine-tRNA ligase activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 16874 // ligase activity // inferred from electronic annotation	Valine, leucine and isoleucine biosynthesis // KEGG /// Aminoacyl-tRNA biosynthesis // KEGG
IVD	isovaleryl Coenzyme A dehydrogenase	361_55	1.474930998	2.785779316	-1.310848318	2.480873748	yes	yes	yes	chr15:38484977-38499210 (-) // 69.72 // q15.1	NP_002216.1	NM_002225	6118 // electron transport // inferred from electronic annotation /// 8152 // metabolism // inferred from electronic annotation	5739 // mitochondrion // inferred from electronic annotation /// 5759 // mitochondrial matrix // non-traceable author statement /// 5739 // mitochondrion // not recorded	8470 // isovaleryl-CoA dehydrogenase activity // traceable author statement /// 50660 // FAD binding // inferred from electronic annotation /// 3995 // acyl-CoA dehydrogenase activity // inferred from electronic annotation /// 8470 // isovaleryl-CoA dehydrogenase activity // inferred from electronic annotation /// 16491 // oxidoreductase activity // inferred from electronic annotation /// 16627 // oxidoreductase activity, acting on the CH-CH group of donors // inferred from electronic annotation	Valine, leucine and isoleucine degradation // KEGG
JUND	jun D proto-oncogene	178_31	-0.429461508	0.166345522	-0.595807031	1.511317767	yes	yes	yes	chr19:18251570-18253468 (-) // 81.63 // p13.11	NP_005345.3	NM_005354	6350 // transcription // inferred from electronic annotation /// 6357 // regulation of transcription from RNA polymerase II promoter // traceable author statement /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation	785 // chromatin // traceable author statement /// 5634 // nucleus // inferred from electronic annotation	3700 // transcription factor activity // inferred from electronic annotation /// 3702 // RNA polymerase II transcription factor activity // traceable author statement /// 43565 // sequence-specific DNA binding // inferred from electronic annotation /// 46983 // protein dimerization activity // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation	Hypertrophy_model // GenMAPP
KLK7	kallikrein 7 (chymotryptic, stratum corneum)	246_19	0.369325622	1.022430473	-0.653104851	1.572548869	yes	yes	yes	chr19:56172408-56177474 (-) // 95.36 // q13.33	NP_005037.1 /// NP_644806.1	NM_005046 /// NM_139277	6508 // proteolysis // inferred from electronic annotation /// 8544 // epidermis development // traceable author statement	---	4252 // serine-type endopeptidase activity // inferred from electronic annotation /// 8233 // peptidase activity // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation /// 8236 // serine-type peptidase activity // traceable author statement	---
KRT14	keratin 14 (epidermolysis bullosa simplex, Dowling-Meara, Koebner)	267_12	0.642433769	1.318240802	-0.675807034	1.597490148	yes	yes	yes	chr17:36992058-36996658 (-) // 90.95 // q21.2 /// chr17:16662023-16666577 (-) // 87.13 // p11.2	NP_000517.2	NM_000526	8544 // epidermis development // traceable author statement	5882 // intermediate filament // inferred from electronic annotation /// 5882 // intermediate filament // not recorded	5200 // structural constituent of cytoskeleton // traceable author statement /// 5515 // protein binding // inferred from physical interaction /// 30280 // structural constituent of epidermis // non-traceable author statement /// 5198 // structural molecule activity // inferred from electronic annotation	---
KRT19	keratin 19	80_83	1.521236022	2.505176885	-0.983940863	1.977860757	yes	yes	yes	chr6:72351115-72352457 (+) // 90.22 // q13 /// chr17:36933395-36938054 (-) // 99.41 // q21.2	NP_002267.2	NM_002276	45214 // sarcomere organization // inferred from direct assay	5882 // intermediate filament // inferred from electronic annotation /// 5882 // intermediate filament // traceable author statement /// 43034 // costamere // inferred from direct assay	5198 // structural molecule activity // inferred from electronic annotation /// 5200 // structural constituent of cytoskeleton // traceable author statement /// 5515 // protein binding // inferred from physical interaction /// 8307 // structural constituent of muscle // inferred from direct assay	---
KRT23	keratin 23 (histone deacetylase inducible)	311_14	1.767109286	0.241092729	1.526016557	2.879895687	yes	yes	yes	chr17:36332477-36346441 (-) // 99.63 // q21.2	NP_056330.3	NM_015515	---	5882 // intermediate filament // inferred from electronic annotation	5198 // structural molecule activity // inferred from electronic annotation	---
KRT80	keratin 80	243_105	-0.741720306	-1.321508368	0.579788061	1.494629664	yes	yes	yes	chr12:50849049-50851767 (-) // 82.06 // q13.13	NP_872313.1	NM_182507	---	5882 // intermediate filament // inferred from electronic annotation	5198 // structural molecule activity // inferred from electronic annotation	---
KIAA0040	KIAA0040	46_2	1.265731338	0.540352477	0.725378861	1.653334755	yes	yes	yes	chr1:173392745-173428552 (-) // 93.58 // q25.1	NP_055471.1	NM_014656	---	---	---	---
KIAA0101	KIAA0101	365_2	-0.228051102	0.359363589	-0.587414691	1.502551761	yes	yes	yes	chr15:62444842-62460684 (-) // 100.0 // q22.31	NP_001025160.1 /// NP_055551.1	NM_001029989 /// NM_014736	6468 // protein amino acid phosphorylation // inferred from electronic annotation /// 16055 // Wnt receptor signaling pathway // inferred from electronic annotation	5634 // nucleus // inferred from electronic annotation /// 5739 // mitochondrion // inferred from electronic annotation	166 // nucleotide binding // inferred from electronic annotation /// 4672 // protein kinase activity // inferred from electronic annotation /// 4674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	---
KIAA0143	KIAA0143 protein	122_87	1.361330052	0.767969024	0.593361029	1.50875759	yes	yes	yes	chr8:132985542-133095066 (+) // 98.6 // q24.22	NP_055952.1	NM_015137	---	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	5488 // binding // inferred from electronic annotation	---
KIAA0232	KIAA0232 gene product	130_26	0.124127348	-0.44658526	0.570712608	1.485257021	yes	yes	yes	chr4:6894733-6936396 (+) // 98.4 // p16.1	NP_055558.1	NM_014743	---	---	166 // nucleotide binding // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation	---
RP11-125A7.3	KIAA0564 protein	306_61	0.978366023	1.874431849	-0.896065826	1.860984224	yes	yes	yes	chr13:41038963-41340607 (-) // 98.81 // q14.11	NP_001009814.1 /// NP_055873.1	NM_001009814 /// NM_015058	---	---	166 // nucleotide binding // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 16887 // ATPase activity // inferred from electronic annotation /// 17111 // nucleoside-triphosphatase activity // inferred from electronic annotation	---
KIAA0888	KIAA0888 protein	95_102	-1.048417893	-1.650204099	0.601786206	1.517594343	yes	yes	yes	chr5:74111214-74198371 (-) // 99.77 // q13.3	XP_032571.4 /// XP_948617.1 /// XP_948624.1	XM_032571 /// XM_943524 /// XM_943531	---	---	---	---
KIAA0947	KIAA0947 protein	119_35	0.24936922	0.86001366	-0.61064444	1.526941129	yes	yes	yes	chr5:5517680-5543323 (+) // 97.86 // p15.32	XP_029101.9 /// XP_945562.1	XM_029101 /// XM_940469	---	---	16787 // hydrolase activity // inferred from electronic annotation	---
KIAA1219	KIAA1219 /// KIAA1219	211_41	0.442007426	-0.296539767	0.738547193	1.668494803	yes	yes	yes	chr20:36550489-36641066 (+) // 97.99 // q11.23	NP_065069.1	NM_020336	---	---	5096 // GTPase activator activity // inferred from electronic annotation	---
KIAA1407	KIAA1407	367_57	0.920430335	0.261897365	0.65853297	1.578476705	yes	yes	yes	chr3:115165675-115236687 (-) // 97.36 // q13.31	NP_065868.1	NM_020817	---	---	---	---
KIAA1524	KIAA1524	2_53	-0.387393265	0.169158198	-0.556551463	1.470749415	yes	yes	yes	chr3:109752094-109790989 (-) // 98.91 // q13.13	NP_065941.1	NM_020890	---	---	5488 // binding // inferred from electronic annotation	---
KIAA1539	KIAA1539	155_78	-0.229692795	0.323400207	-0.553093002	1.467227924	yes	yes	yes	chr9:35094157-35101371 (-) // 96.13 // p13.3	NP_079458.2	NM_025182	---	---	---	---
KIAA1772	KIAA1772	221_13	0.5674261	1.104600562	-0.537174462	1.451127679	yes	yes	yes	chr18:17285057-17342674 (+) // 99.79 // q11.1	NP_079211.2	NM_024935	---	---	---	---
KIAA1913	KIAA1913	164_63	-0.14733269	0.615327231	-0.762659921	1.696615822	yes	yes	yes	chr6:130803974-130806259 (+) // 99.48 // q23.1	NP_443145.1	NM_052913	---	---	---	---
KIAA1961	KIAA1961 gene	22_72	0.364097386	-0.180774713	0.544872099	1.458891002	yes	yes	yes	chr5:131159036-131160604 (-) // 97.27 // q31.1	NP_001008738.1 /// NP_588613.1	NM_001008738 /// NM_133372	---	---	---	---
KLRC1 /// KLRC2	killer cell lectin-like receptor subfamily C, member 1 /// killer cell lectin-like receptor subfamily C, member 2	65_101	0.953726875	0.29545509	0.658271786	1.578190965	yes	yes	yes	chr12:10474474-10479897 (-) // 76.29 // p13.2	NP_002250.1 /// NP_002251.2 /// NP_015567.1 /// NP_998822.1 /// NP_998823.1	NM_002259 /// NM_002260 /// NM_007328 /// NM_213657 /// NM_213658	7166 // cell surface receptor linked signal transduction // traceable author statement /// 19735 // antimicrobial humoral response (sensu Vertebrata) // traceable author statement /// 6968 // cellular defense response // traceable author statement /// 7165 // signal transduction // traceable author statement	5887 // integral to plasma membrane // traceable author statement /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	4888 // transmembrane receptor activity // traceable author statement /// 5529 // sugar binding // inferred from electronic annotation /// 4872 // receptor activity // inferred from electronic annotation	---
KLF12	Kruppel-like factor 12	217_34	0.317675112	-0.325965272	0.643640383	1.56226629	yes	yes	yes	chr13:73166425-73166968 (-) // 98.37 // q22.1	NP_009180.3 /// NP_057369.1	NM_007249 /// NM_016285	6350 // transcription // inferred from electronic annotation /// 6357 // regulation of transcription from RNA polymerase II promoter // traceable author statement /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation	5622 // intracellular // inferred from electronic annotation /// 5634 // nucleus // inferred from electronic annotation	3700 // transcription factor activity // traceable author statement /// 3714 // transcription corepressor activity // traceable author statement /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 3676 // nucleic acid binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation	---
KLF4	Kruppel-like factor 4 (gut)	43_55	0.847695744	0.064254721	0.783441022	1.72123135	yes	yes	yes	chr9:109287815-109291750 (-) // 99.59 // q31.2	NP_004226.2	NM_004235	6350 // transcription // inferred from electronic annotation /// 7500 // mesodermal cell fate determination // traceable author statement /// 8285 // negative regulation of cell proliferation // traceable author statement /// 45892 // negative regulation of transcription, DNA-dependent // inferred from expression pattern /// 45892 // negative regulation of transcription, DNA-dependent // inferred from sequence or structural similarity /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation	5622 // intracellular // inferred from electronic annotation /// 5634 // nucleus // inferred from electronic annotation /// 5634 // nucleus // inferred from sequence or structural similarity	3676 // nucleic acid binding // inferred from electronic annotation /// 3700 // transcription factor activity // inferred from sequence or structural similarity /// 3700 // transcription factor activity // non-traceable author statement /// 8270 // zinc ion binding // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from sequence or structural similarity /// 8270 // zinc ion binding // non-traceable author statement /// 16563 // transcriptional activator activity // inferred from sequence or structural similarity /// 16563 // transcriptional activator activity // non-traceable author statement /// 16564 // transcriptional repressor activity // inferred from expression pattern /// 16564 // transcriptional repressor activity // inferred from sequence or structural similarity /// 46872 // metal ion binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation /// 3700 // transcription factor activity // traceable author statement	---
