UNIQID	Gene Symbol	Chromosome Map	Gene Description
205257_s_at	AMPH	chr7p14	amphiphysin (Stiff-Man syndrome with breast cancer
205710_at	LRP2	chr2q24	low density lipoprotein-related protein 2
206483_at	LRRC6	chr8q24	leucine rich repeat containing 6
204614_at	SERPINB2	chr18q21	serine (or cysteine) proteinase inhibitor clade B
206504_at	CYP24A1	chr20q13	cytochrome P450 family 24 subfamily A polypepti
207147_at	DLX2	chr2q32	distal-less homeo box 2
205433_at	BCHE	chr3q26	butyrylcholinesterase
203908_at	SLC4A4	chr4q21	solute carrier family 4 sodium bicarbonate cotran
219804_at	SYNPO2L	chr10q22	synaptopodin 2-like
220595_at	PDZRN4	chr12q12	PDZ domain containing RING finger 4
220014_at	LOC51334	chr5q23	mesenchymal stem cell protein DSC54
220431_at	DESC1	chr4q13	DESC1 protein
205948_at	PTPRT	chr20q12	protein tyrosine phosphatase receptor type T
219557_s_at	NRIP3	chr11p15	nuclear receptor interacting protein 3
205659_at	HDAC9	chr7p21	histone deacetylase 9
219714_s_at	CACNA2D3	chr3p21	calcium channel voltage-dependent alpha 2/delta
215785_s_at	CYFIP2	chr5q33	cytoplasmic FMR1 interacting protein 2
218392_x_at	SFXN1	chr5q35	sideroflexin 1
221766_s_at	FAM46A	chr6q14	family with sequence similarity 46 member A
212573_at	KIAA0830	chr11q21	KIAA0830 protein
202375_at	SEC24D	chr4q26	SEC24 related gene family member D (S. cerevisiae
201565_s_at	ID2	chr2p25	inhibitor of DNA binding 2 dominant negative heli
209472_at	KAT3	chr1p22	kynurenine aminotransferase III
216248_s_at	NR4A2	chr2q22	nuclear receptor subfamily 4 group A member 2
203585_at	ZNF185	chrxq28	zinc finger protein 185 (LIM domain)
206067_s_at	WT1	chr11p13	Wilms tumor 1
205513_at	TCN1	chr11q11	transcobalamin I (vitamin B12 binding protein R b
206243_at	TIMP4	chr3p25	tissue inhibitor of metalloproteinase 4
206290_s_at	RGS7	chr1q43	regulator of G-protein signalling 7
205402_x_at	PRSS2	chr7q34	protease serine 2 (trypsin 2)
215395_x_at	TRY6	chr7q34	trypsinogen C
219525_at	FLJ10847	chr17p11	hypothetical protein FLJ10847
212805_at	KIAA0367	chr9q21	KIAA0367
205222_at	EHHADH	chr3q26	enoyl-Coenzyme A hydratase/3-hydroxyacyl Coenzyme
218541_s_at	C8orf4	chr8p11	chromosome 8 open reading frame 4
202824_s_at	TCEB1	chr8q21	transcription elongation factor B (SIII) polypept
202376_at	SERPINA3	chr14q32	serine (or cysteine) proteinase inhibitor clade A
202160_at	CREBBP	chr16p13	CREB binding protein (Rubinstein-Taybi syndrome)
212560_at	SORL1	chr11q23	Sortilin-related receptor L(DLR class) A repeats-
203815_at	GSTT1	chr22q11	glutathione S-transferase theta 1
204343_at	ABCA3	chr16p13	ATP-binding cassette sub-family A (ABC1) member
208886_at	H1F0	chr22q13	H1 histone family member 0
209610_s_at	SLC1A4	chr2p15	solute carrier family 1 (glutamate/neutral amino a
209094_at	DDAH1	chr1p22	dimethylarginine dimethylaminohydrolase 1
213839_at	KIAA0500	chr14q32	KIAA0500 protein
202260_s_at	STXBP1	chr9q34	syntaxin binding protein 1
203355_s_at	PSD3	chr8pter	pleckstrin and Sec7 domain containing 3
209120_at	NR2F2	chr15q26	nuclear receptor subfamily 2 group F member 2
209487_at	RBPMS	chr8p12	RNA binding protein with multiple splicing
213222_at	PLCB1	chr20p12	phospholipase C beta 1 (phosphoinositide-specific
213568_at	OSR2	chr8q22	odd-skipped-related 2A protein
202594_at	LEPROTL1	chr8p21	leptin receptor overlapping transcript-like 1
209988_s_at	ASCL1	chr12q22	achaete-scute complex-like 1 (Drosophila)
214359_s_at	HSPCB	chr6p12	heat shock 90kDa protein 1 beta
201631_s_at	IER3	chr6p21	immediate early response 3
203986_at	GENX-3414	chr4q24	genethonin 1
203870_at	USP46	chr4q12	ubiquitin specific protease 46
200800_s_at	HSPA1A	chr6p21	heat shock 70kDa protein 1A
202581_at	HSPA1B	chr6p21	heat shock 70kDa protein 1B
203007_x_at	LYPLA1	chr8q11	lysophospholipase I
201689_s_at	TPD52	chr8q21	tumor protein D52
202118_s_at	CPNE3	chr8q21	copine III
202956_at	ARFGEF1	chr8q13	ADP-ribosylation factor guanine nucleotide-exchang
204226_at	STAU2	chr8q13	staufen RNA binding protein homolog 2 (Drosophil
202541_at	SCYE1	chr4q24	small inducible cytokine subfamily E member 1 (en
212637_s_at	WWP1	chr8q21	WW domain containing E3 ubiquitin protein ligase 1
212731_at	LOC157567	chr8q22	hypothetical protein LOC157567
218640_s_at	PLEKHF2	chr8q22	pleckstrin homology domain containing family F (w
212867_at	NCOA2	chr8q13	Nuclear receptor coactivator 2
219819_s_at	MRPS28	chr8q21	mitochondrial ribosomal protein S28
208732_at	RAB2	chr8q12	RAB2 member RAS oncogene family
218701_at	LACTB2	chr8p22	lactamase beta 2
213243_at	COH1	chr8q22	Cohen syndrome 1
210117_at	SPAG1	chr8q22	sperm associated antigen 1
212150_at	KIAA0143	chr8q24	KIAA0143 protein
206020_at	SOCS6	chr18q22	suppressor of cytokine signaling 6
206557_at	FLJ12985	chr19q13	hypothetical protein FLJ12985
203415_at	PDCD6	chr5pter	programmed cell death 6
202525_at	PRSS8	chr16p11	protease serine 8 (prostasin)
200656_s_at	P4HB	chr17q25	procollagen-proline 2-oxoglutarate 4-dioxygenase
201079_at	SYNGR2	chr17q25	synaptogyrin 2
206482_at	PTK6	chr20q13	PTK6 protein tyrosine kinase 6
208837_at	C15orf22	chr15q24	chromosome 15 open reading frame 22
202529_at	PRPSAP1	chr17q24	phosphoribosyl pyrophosphate synthetase-associated
202338_at	TK1	chr17q23	thymidine kinase 1 soluble
209600_s_at	ACOX1	chr17q24	acyl-Coenzyme A oxidase 1 palmitoyl
203713_s_at	LLGL2	chr17q24	lethal giant larvae homolog 2 (Drosophila)
204868_at	ICT1	chr17q25	immature colon carcinoma transcript 1
210149_s_at	ATP5H	chr17q25	ATP synthase H+ transporting mitochondrial F0 co
217932_at	MRPS7	chr17q25	mitochondrial ribosomal protein S7
218014_at	PCNT1	chr17q25	pericentrin 1
202353_s_at	PSMD12	chr17q24	proteasome (prosome macropain) 26S subunit non-A
207186_s_at	FALZ	chr17q24	fetal Alzheimer antigen
211762_s_at	KPNA2	chr17q23	karyopherin alpha 2 (RAG cohort 1 importin alpha
221970_s_at	DKFZP586L0724	chr17q24	DKFZP586L0724 protein
217755_at	HN1	chr17q25	hematological and neurological expressed 1
212034_s_at	EXOC7	chr17q25	exocyst complex component 7
213230_at	HUMPPA	chr17q25	paraneoplastic antigen
213953_at	KRT20	chr17q21	keratin 20
220281_at	SLC12A1	chr15q15	solute carrier family 12 (sodium/potassium/chlorid
219327_s_at	GPRC5C	chr17q25	G protein-coupled receptor family C group 5 mem
207169_x_at	DDR1	chr6p21	discoidin domain receptor family member 1
203787_at	SSBP2	chr5q14	single-stranded DNA binding protein 2
202708_s_at	HIST2H2BE	chr1q21	histone 2 H2be
206110_at	HIST1H3H	chr6p22	histone 1 H3h
209398_at	HIST1H1C	chr6p21	histone 1 H1c
208490_x_at	HIST1H2BF	chr6p21	histone 1 H2bf
208527_x_at	HIST1H2BE	chr6p21	histone 1 H2be
208546_x_at	HIST1H2BH	chr6p21	histone 1 H2bh
208579_x_at	H2BFS	chr21q22	H2B histone family member S
209806_at	HIST1H2BK	chr6p21	histone 1 H2bk
214290_s_at	HIST2H2AA	chr1q21	histone 2 H2aa
209911_x_at	HIST1H2BD	chr6p21	histone 1 H2bd
210387_at	HIST1H2BG	chr6p21	histone 1 H2bg
214469_at	HIST1H2AE	chr6p22	histone 1 H2ae
214472_at	HIST1H3D	chr6p21	histone 1 H3d
221582_at	HIST3H2A	chr1q42	histone 3 H2a
201053_s_at	PSMF1	chr20p13	proteasome (prosome macropain) inhibitor subunit
221827_at	C20orf18	chr20p13	chromosome 20 open reading frame 18
218145_at	TRIB3	chr20p13	tribbles homolog 3 (Drosophila)
214073_at	CTTN	chr11q13	cortactin
53071_s_at	FLJ22222	chr17q25	hypothetical protein FLJ22222
211597_s_at	HOP	chr4q11	homeodomain-only protein
202139_at	AKR7A2	chr1p35	aldo-keto reductase family 7 member A2 (aflatoxin
203962_s_at	NEBL	chr10p12	nebulette
201302_at	ANXA4	chr2p13	annexin A4
204952_at		chr19q13	GPI-anchored metastasis-associated protein homolog
202286_s_at	TACSTD2	chr1p32	tumor-associated calcium signal transducer 2
219648_at	FLJ10116	chr2q35	whn-dependent transcript 2
205190_at	PLS1	chr3q23	plastin 1 (I isoform)
201462_at	SCRN1	chr7p14	secernin 1
218816_at	LRRC1	chr6p12	leucine rich repeat containing 1
219073_s_at	OSBPL10	chr3p22	oxysterol binding protein-like 10
207847_s_at	MUC1	chr1q21	mucin 1 transmembrane
209739_s_at	PNPLA4	chrxp22	patatin-like phospholipase domain containing 4
201939_at	PLK2	chr5q12	polo-like kinase 2 (Drosophila)
209444_at	RAP1GDS1	chr4q23	RAP1 GTP-GDP dissociation stimulator 1
204352_at	TRAF5	chr1q32	TNF receptor-associated factor 5
204418_x_at	GSTM2	chr1p13	glutathione S-transferase M2 (muscle)
204550_x_at	GSTM1	chr1p13	glutathione S-transferase M1
212977_at	CMKOR1	chr2q37	chemokine orphan receptor 1
202011_at	TJP1	chr15q13	tight junction protein 1 (zona occludens 1)
202930_s_at	SUCLA2	chr13q12	succinate-CoA ligase ADP-forming beta subunit
203860_at	PCCA	chr13q32	propionyl Coenzyme A carboxylase alpha polypeptid
204085_s_at	CLN5	chr13q21	ceroid-lipofuscinosis neuronal 5
203132_at	RB1	chr13q14	retinoblastoma 1 (including osteosarcoma)
211698_at	CRI1	chr15q21	CREBBP/EP300 inhibitor 1
202284_s_at	CDKN1A	chr6p21	cyclin-dependent kinase inhibitor 1A (p21 Cip1)
203218_at	MAPK9	chr5q35	mitogen-activated protein kinase 9
208796_s_at	CCNG1	chr5q32	cyclin G1
214658_at	CGI-109	chr5q22	CGI-109 protein
213506_at	F2RL1	chr5q13	coagulation factor II (thrombin) receptor-like 1
219696_at	FLJ20054	chr1q31	hypothetical protein FLJ20054
217941_s_at	ERBB2IP	chr5q12	erbb2 interacting protein
206059_at	ZNF91	chr19p13	zinc finger protein 91 (HPF7 HTF10)
204967_at	APXL	chrxp22	apical protein-like (Xenopus laevis)
201646_at	SCARB2	chr4q21	scavenger receptor class B member 2
207700_s_at	NCOA3	chr20q12	nuclear receptor coactivator 3
201294_s_at	WSB1	chr17q11	WD repeat and SOCS box-containing 1
201953_at	CIB1	chr15q25	calcium and integrin binding 1 (calmyrin)
217722_s_at	NEUGRIN	chr15q26	mesenchymal stem cell protein DSC92
201729_s_at	KIAA0100	chr17q11	KIAA0100 gene product
218318_s_at	NLK	chr17q11	nemo like kinase
205160_at	PEX11A	chr15q26	Peroxisomal biogenesis factor 11A
201941_at	CPD	chr17p11	carboxypeptidase D
221276_s_at	SYNCOILIN	chr1p34	intermediate filament protein syncoilin
209023_s_at	STAG2	chrxq25	stromal antigen 2
213016_at	BBX	chr3q13	Bobby sox homolog (Drosophila)
209890_at	TM4SF9	chr4q23	transmembrane 4 superfamily member 9
204983_s_at	GPC4	chrxq26	glypican 4
213385_at	CHN2	chr7p15	Chimerin (chimaerin) 2
206994_at	CST4	chr20p11	cystatin S
63825_at	ABHD2	chr15q26	Abhydrolase domain containing 2
205150_s_at	KIAA0644	chr7p15	KIAA0644 gene product
205066_s_at	ENPP1	chr6q22	ectonucleotide pyrophosphatase/phosphodiesterase 1
218858_at	DEPDC6	chr8q24	DEP domain containing 6
219888_at	SPAG4	chr20q11	sperm associated antigen 4
209433_s_at	PPAT	chr4q12	phosphoribosyl pyrophosphate amidotransferase
219976_at	HOOK1	chr1p32	hook homolog 1 (Drosophila)
204849_at	TCFL5	chr20q13	transcription factor-like 5 (basic helix-loop-heli
205739_x_at	ZFD25	chr7q11	zinc finger protein (ZFD25)
202609_at	EPS8	chr12q23	epidermal growth factor receptor pathway substrate
202071_at	SDC4	chr20q12	syndecan 4 (amphiglycan ryudocan)
217770_at	PIGT	chr20q12	phosphatidylinositol glycan class T
203476_at	TPBG	chr6q14	trophoblast glycoprotein
210970_s_at	IBTK	chr6q14	inhibitor of Bruton agammaglobulinemia tyrosine ki
201650_at	KRT19	chr17q21	keratin 19
204179_at	MB	chr22q13	myoglobin
202489_s_at	FXYD3	chr19q13	FXYD domain containing ion transport regulator 3
203108_at	RAI3	chr12p13	retinoic acid induced 3
212686_at	PPM1H	chr12q14	Protein phosphatase 1H (PP2C domain containing)
214433_s_at	SELENBP1	chr1q21	selenium binding protein 1
218692_at	FLJ20366	chr8q23	hypothetical protein FLJ20366
201496_x_at	MYH11	chr16p13	myosin heavy polypeptide 11 smooth muscle
211756_at	PTHLH	chr12p12	parathyroid hormone-like hormone
204455_at	DST	chr6p12	dystonin
209863_s_at	TP73L	chr3q27	tumor protein p73-like
202506_at	SSFA2	chr2q31	sperm specific antigen 2
202962_at	KIF13B	chr8p12	kinesin family member 13B
205453_at	HOXB2	chr17q21	homeo box B2
204570_at	COX7A1	chr19q13	cytochrome c oxidase subunit VIIa polypeptide 1 (m
202149_at	NEDD9	chr6p25	neural precursor cell expressed developmentally d
205141_at	ANG	chr14q11	angiogenin ribonuclease RNase A family 5
213397_x_at	RNASE4	chr14q11	ribonuclease RNase A family 4
206022_at	NDP	chrxp11	Norrie disease (pseudoglioma)
219469_at	DNCH2	chr11q21	dynein cytoplasmic heavy polypeptide 2
201032_at	BLCAP	chr20q11	bladder cancer associated protein
203066_at	GALNAC4S-6ST	chr10q26	B cell RAG associated protein
207426_s_at	TNFSF4	chr1q25	tumor necrosis factor (ligand) superfamily member
201482_at	QSCN6	chr1q24	quiescin Q6
201008_s_at	TXNIP	chr1q21	thioredoxin interacting protein
200696_s_at	GSN	chr9q33	gelsolin (amyloidosis Finnish type)
201237_at	CAPZA2	chr7q31	capping protein (actin filament) muscle Z-line al
202731_at	PDCD4	chr10q24	programmed cell death 4 (neoplastic transformation
202777_at	SHOC2	chr10q25	soc-2 suppressor of clear homolog (C. elegans)
203482_at	C10orf6	chr10q24	chromosome 10 open reading frame 6
221824_s_at	MIR	chr10q11	c-mir cellular modulator of immune recognition
206271_at	TLR3	chr4q35	toll-like receptor 3
202709_at	FMOD	chr1q32	fibromodulin
203485_at	RTN1	chr14q23	reticulon 1
203240_at	FCGBP	chr19q13	Fc fragment of IgG binding protein
205898_at	CX3CR1	chr3p21	chemokine (C-X3-C motif) receptor 1
205399_at	DCAMKL1	chr13q13	doublecortin and CaM kinase-like 1
201236_s_at	BTG2	chr1q32	BTG family member 2
202357_s_at	BF	chr6p21	B-factor properdin
218501_at	ARHGEF3	chr3p21	Rho guanine nucleotide exchange factor (GEF) 3
218346_s_at	SESN1	chr6q21	sestrin 1
219553_at	NME7	chr1q24	non-metastatic cells 7 protein expressed in (nucl
202177_at	GAS6	chr13q34	growth arrest-specific 6
204948_s_at	FST	chr5q11	follistatin
205383_s_at	ZBTB20	chr3q13	zinc finger and BTB domain containing 20
202561_at	TNKS	chr8p23	tankyrase TRF1-interacting ankyrin-related ADP-ri
203697_at	FRZB	chr2qter	frizzled-related protein
219463_at	C20orf103	chr20p12	chromosome 20 open reading frame 103
214937_x_at	PCM1	chr8p22	pericentriolar material 1
206754_s_at	CYP2B6	chr19q13	cytochrome P450 family 2 subfamily B polypeptid
212554_at	CAP2	chr6p22	CAP adenylate cyclase-associated protein 2 (yeas
206115_at	EGR3	chr8p23	early growth response 3
221601_s_at	TOSO	chr1q32	regulator of Fas-induced apoptosis
221558_s_at	LEF1	chr4q23	lymphoid enhancer-binding factor 1
206857_s_at	FKBP1B	chr2p23	FK506 binding protein 1B 12.6 kDa
205768_s_at	SLC27A2	chr15q21	solute carrier family 27 (fatty acid transporter)
203726_s_at	LAMA3	chr18q11	laminin alpha 3
204541_at	SEC14L2	chr22q12	SEC14-like 2 (S. cerevisiae)
209598_at	PNMA2	chr8p21	Paraneoplastic antigen MA2
210576_at	CYP4F8	chr19p13	cytochrome P450 family 4 subfamily F polypeptid
219440_at	RAI2	chrxp22	retinoic acid induced 2
214430_at	GLA	chrxq22	galactosidase alpha
219263_at	RNF128	chrxq22	ring finger protein 128
203803_at	PCYOX1	chr2p13	prenylcysteine oxidase 1
202575_at	CRABP2	chr1q21	cellular retinoic acid binding protein 2
202786_at	STK39	chr2q24	serine threonine kinase 39 (STE20/SPS1 homolog ye
209380_s_at	ABCC5	chr3q27	ATP-binding cassette sub-family C (CFTR/MRP) mem
218677_at	S100A14	chr1q21	S100 calcium binding protein A14
202171_at	ZNF161	chr17q23	zinc finger protein 161
203654_s_at	COIL	chr17q22	coilin
220261_s_at	ZDHHC4	chr7p22	zinc finger DHHC domain containing 4
202770_s_at	CCNG2	chr4q21	cyclin G2
200604_s_at	PRKAR1A	chr17q23	protein kinase cAMP-dependent regulatory type I
201563_at	SORD	chr15q15	sorbitol dehydrogenase
205980_s_at	ARHGAP8	chr22q13	Rho GTPase activating protein 8
203619_s_at	FAIM2	chr12q13	Fas apoptotic inhibitory molecule 2
205594_at	KIAA0924	chr17q21	KIAA0924 protein
203967_at	CDC6	chr17q21	CDC6 cell division cycle 6 homolog (S. cerevisiae)
203749_s_at	RARA	chr17q21	retinoic acid receptor alpha
212050_at	WIRE	chr17q21	WIRE protein
207038_at	SLC16A6	chr17q24	solute carrier family 16 (monocarboxylic acid tran
201388_at	PSMD3	chr17q21	proteasome (prosome macropain) 26S subunit non-A
207842_s_at	CASC3	chr17q11	cancer susceptibility candidate 3
213043_s_at	THRAP4	chr17q21	thyroid hormone receptor associated protein 4
212708_at	LOC339287	chr17q21	hypothetical protein LOC339287
218657_at	RAPGEFL1	chr17q21	Rap guanine nucleotide exchange factor (GEF)-like
201884_at	CEACAM5	chr19q13	carcinoembryonic antigen-related cell adhesion mol
203757_s_at	CEACAM6	chr19q13	carcinoembryonic antigen-related cell adhesion mol
208063_s_at	CAPN9	chr1q42	calpain 9 (nCL-4)
204404_at	SLC12A2	chr5q23	solute carrier family 12 (sodium/potassium/chlorid
202535_at	FADD	chr11q13	Fas (TNFRSF6)-associated via death domain
203771_s_at	BLVRA	chr7p14	biliverdin reductase A
219349_s_at	SEC5L1	chr6p25	SEC5-like 1 (S. cerevisiae)
202630_at	APPBP2	chr17q21	amyloid beta precursor protein (cytoplasmic tail)
212310_at	FLJ39207	chr1p36	Similar to C219-reactive peptide
202066_at	PPFIA1	chr11q13	protein tyrosine phosphatase receptor type f pol
213308_at	SHANK2	chr11q13	SH3 and multiple ankyrin repeat domains 2
206505_at	UGT2B4	chr4q13	UDP glycosyltransferase 2 family polypeptide B4
209615_s_at	PAK1	chr11q13	p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog
218840_s_at	NADSYN1	chr11q13	NAD synthetase 1
218957_s_at	FLJ11848	chr11q13	hypothetical protein FLJ11848
221599_at	PTD015	chr11q13	PTD015 protein
206565_x_at	SMA3	chr5q13	SMA3
214850_at	SMA4	chr5q13	SMA4
213089_at	LOC153561	chr5q13	hypothetical protein LOC153561
213605_s_at	FLJ40092	chr5q13	FLJ40092 protein
36830_at	MIPEP	chr13q12	mitochondrial intermediate peptidase
201577_at	NME1	chr17q21	non-metastatic cells 1 protein (NM23A) expressed
201268_at	NME2	chr17q21	non-metastatic cells 2 protein (NM23B) expressed
203721_s_at	CGI-48	chr17q21	CGI-48 protein
208835_s_at	CROP	chr17q21	cisplatin resistance-associated overexpressed prot
200658_s_at	PHB	chr17q21	prohibitin
202433_at	SLC35B1	chr17q21	solute carrier family 35 member B1
222231_s_at	PRO1855	chr17q21	hypothetical protein PRO1855
220318_at	EPN3	chr17q21	epsin 3
201484_at	SUPT4H1	chr17q21	suppressor of Ty 4 homolog 1 (S. cerevisiae)
218704_at	FLJ20315	chr17q23	hypothetical protein FLJ20315
209849_s_at	RAD51C	chr17q22	RAD51 homolog C (S. cerevisiae)
204566_at	PPM1D	chr17q23	protein phosphatase 1D magnesium-dependent delta
201987_at	THRAP1	chr17q22	Thyroid hormone receptor associated protein 1
201827_at	SMARCD2	chr17q23	SWI/SNF related matrix associated actin dependen
205811_at	POLG2	chr17q	polymerase (DNA directed) gamma 2 accessory subu
221069_s_at	LOC51204	chr17q23	clone HQ0477 PRO0477p
218103_at	FTSJ3	chr17q23	FtsJ homolog 3 (E. coli)
213009_s_at	TRIM37	chr17q23	tripartite motif-containing 37
214268_s_at	MTMR4	chr17q22	myotubularin related protein 4
204171_at	RPS6KB1	chr17q23	ribosomal protein S6 kinase 70kDa polypeptide 1
210389_x_at	TUBD1	chr17q23	tubulin delta 1
218277_s_at	DHX40	chr17q23	DEAH (Asp-Glu-Ala-His) box polypeptide 40
218514_at	FLJ10587	chr17q23	hypothetical protein FLJ10587
218732_at	Bit1	chr17q23	Bcl-2 inhibitor of transcription
220990_s_at	VMP1	chr17q23	likely ortholog of rat vacuole membrane protein 1
209164_s_at	CYB561	chr17q11	cytochrome b-561
221745_at	HAN11	chr17q23	WD-repeat protein
221521_s_at	Pfs2	chr16q24	DNA replication complex GINS protein PSF2
209431_s_at	ZNF278	chr22q12	zinc finger protein 278
206277_at	P2RY2	chr11q13	purinergic receptor P2Y G-protein coupled 2
213913_s_at	KIAA0984	chr12q14	KIAA0984 protein
205164_at	GCAT	chr22q13	glycine C-acetyltransferase (2-amino-3-ketobutyrat
208677_s_at	BSG	chr19p13	basigin (OK blood group)
210719_s_at	HMG20B	chr19p13	high-mobility group 20B
204143_s_at	HSRTSBETA	chr18p11	rTS beta protein
218922_s_at	LASS4	chr19p13	LAG1 longevity assurance homolog 4 (S. cerevisiae)
222116_s_at	TBC1D16	chr17q25	TBC1 domain family member 16
214670_at	ZNF36	chr7q21	zinc finger protein 36 (KOX 18)
207606_s_at	ARHGAP12	chr10q11	Rho GTPase activating protein 12
204497_at	ADCY9	chr16p13	adenylate cyclase 9
201360_at	CST3	chr20p11	cystatin C (amyloid angiopathy and cerebral hemorr
205251_at	PER2	chr2q37	period homolog 2 (Drosophila)
203227_s_at	SAS	chr12q13	sarcoma amplified sequence
202986_at	ARNT2	chr15q24	aryl-hydrocarbon receptor nuclear translocator 2
202054_s_at	ALDH3A2	chr17p11	aldehyde dehydrogenase 3 family member A2
204062_s_at	ULK2	chr17p11	unc-51-like kinase 2 (C. elegans)
202641_at	ARL3	chr10q23	ADP-ribosylation factor-like 3
209524_at	HDGFRP3	chr15q11	hepatoma-derived growth factor related protein 3
210976_s_at	PFKM	chr12q13	phosphofructokinase muscle
