in_house ID	RefSeq ID	annotation
GS11907	NM_004111	Homo sapiens flap structure-specific endonuclease 1 (FEN1), mRNA.
GS15238	NM_004712	Homo sapiens hepatocyte growth factor-regulated tyrosine kinasesubstrate (HGS), mRNA.
GS581	NA	NA
GS1718	NA	NA
GS12883	NM_012218	Homo sapiens interleukin enhancer binding factor 3, 90kDa (ILF3),transcript variant 1, mRNA.
GS175	NM_153251	Homo sapiens hypothetical protein FLJ25952 (FLJ25952), mRNA.
GS15502	NM_018090	Homo sapiens hypothetical protein FLJ10420 (FLJ10420), mRNA.
GS263	NA	NA
GS2177	NA	NA
GS11421	NM_005134	Homo sapiens protein phosphatase 4, regulatory subunit 1 (PPP4R1),mRNA.
LT119	NM_000051	ATM(ataxia telangiectasia mutated protein isoform 1)
GS6952	NG_000827	Homo sapiens genomic histone family microcluster (HFM@) on chromosome6.
GS1765	NM_030752	Homo sapiens t-complex 1 (TCP1), mRNA.
GS15843	NM_004643	Homo sapiens poly(A) binding protein, nuclear 1 (PABPN1), mRNA.
GS15691	NM_020228	Homo sapiens PR domain containing 10 (PRDM10), mRNA.
GS3873	NM_004905	Homo sapiens anti-oxidant protein 2 (non-selenium glutathioneperoxidase, acidic calcium-independent phospholipase A2)(AOP2), mRNA.
GS4263	NM_022036	Homo sapiens G protein-coupled receptor, family C, group 5, member C(GPRC5C), transcript variant 1, mRNA.
LT96	NM_022845	CBFB(core-binding factor, beta subunit, isoform 1)
GS391	NA	NA
GS15883	NM_016021	Homo sapiens ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog,yeast) (UBE2J1), mRNA.
LT6	NM_000461	thyroid hormone receptor, beta (erythroblastic
GS3080	NM_001614	Homo sapiens actin, gamma 1 (ACTG1), mRNA.
GS4810	NA	NA
GS1516	NM_000593	Homo sapiens transporter 1, ATP-binding cassette, sub-family B(MDR/TAP) (TAP1), mRNA.
GS15023	NM_003299	Homo sapiens tumor rejection antigen (gp96) 1 (TRA1), mRNA.
GS3818	NM_003878	Homo sapiens gamma-glutamyl hydrolase (conjugase,folylpolygammaglutamyl hydrolase) (GGH), mRNA.
GS5453	NM_006330	Homo sapiens lysophospholipase I (LYPLA1), mRNA.
GS211	NA	NA
GS12644	NA	NA
GS805	NA	NA
GS2706	NA	NA
GS11388	NM_033410	Homo sapiens hypothetical protein MGC13138 (MGC13138), mRNA.
GS8106	NM_152227	Homo sapiens sorting nexin 5 (SNX5), transcript variant 1, mRNA.
GS2448	NA	NA
GS2569	NM_000098	Homo sapiens carnitine palmitoyltransferase II (CPT2), nuclear geneencoding mitochondrial protein, mRNA.
GS2789	NM_018955	Homo sapiens ubiquitin B (UBB), mRNA.
GS15616	NM_022118	Homo sapiens cutaneous T-cell lymphoma tumor antigen se70-2 (SE70-2),mRNA.
GS482	NA	NA
GS15657	NM_004591	Homo sapiens chemokine (C-C motif) ligand 20 (CCL20), mRNA.
GS15604	NM_001096	Homo sapiens ATP citrate lyase (ACLY), mRNA.
LT101	NM_006534	NCOA3(nuclear receptor coactivator 3)
GS4582	NM_033252	Homo sapiens UDP-GlcNAc:betaGalbeta-1,3-N-acetylglucosaminyltransferase 1 (B3GNT1),transcript variant 2, mRNA.
GS15860	NM_005566	Homo sapiens lactate dehydrogenase A (LDHA), mRNA.
GS704	NA	NA
GS2356	NA	NA
GS3630	NM_007359	Homo sapiens MLN51 protein (MLN51), mRNA.
GS9110	NM_139177	Homo sapiens chromosome 17 open reading frame 26 (C17orf26), mRNA.
GS1451	NM_014175	Homo sapiens mitochondrial ribosomal protein L15 (MRPL15), nucleargene encoding mitochondrial protein, mRNA.
GS7628	NM_004156	Homo sapiens protein phosphatase 2 (formerly 2A), catalytic subunit,beta isoform (PPP2CB), mRNA.
GS4348	NM_007270	Homo sapiens FK506 binding protein 9, 63 kDa (FKBP9), mRNA.
GS4664	NM_006333	Homo sapiens nuclear DNA-binding protein (C1D), mRNA.
GS14903	NM_013383	Homo sapiens transcription factor-like 4 (TCFL4), transcript variantbeta, mRNA.
GS3392	NM_033255	Homo sapiens epithelial stromal interaction 1 (breast) (EPSTI1),mRNA.
GS12607	NM_018199	Homo sapiens hypothetical protein FLJ10738 (FLJ10738), mRNA.
GS4778	NA	NA
LT38	L22214	adenosine A1 receptor (ADORA1) mRNA exons 1-6
GS7293	NM_001255	Homo sapiens CDC20 cell division cycle 20 homolog (S. cerevisiae)(CDC20), mRNA.
